"taskIndex","scenario","orientation","attackerLabelIndex","repeat","seed","jobId","passed","updates","transitionUpdate","attackerAttributed","ownerAttributed","legacyAttackerAttributed","legacyOwnerAttributed","recordCount","plainBytes","gzipBytes","caseSha256","streamPlainSha256","streamGzipSha256"
"12","physical_rubble","1","0","0","3100500101","24647830","true","1977","1977","true","false","false","false","1980","5345601","67936","36a05f725f6f83e16839281f4774702f2b6c6f890fd6f706e7b87e10521fd72c","4255eb6611477618936da48e4f39d48d2b0131165c9eed54a2d2133249494157","4ef554252a7d969264fba0c52f5c4d036e968bd3816b380f8ea02f0d3bd7c93f"
"13","physical_rubble","1","0","1","3100500101","24647831","true","1977","1977","true","false","false","false","1980","5345601","67936","bde3f6daca65f658d7908a5a19b8832723c80ddc0b18a13c13c1f29e350a1f0e","4255eb6611477618936da48e4f39d48d2b0131165c9eed54a2d2133249494157","4ef554252a7d969264fba0c52f5c4d036e968bd3816b380f8ea02f0d3bd7c93f"
"14","physical_rubble","1","1","0","3100500101","24647832","true","1977","1977","true","false","false","false","1980","5345601","67936","b828d6a4975bbf18595b558263b54560dfd9353871fd3d1dc008cbf57fdeae5f","4255eb6611477618936da48e4f39d48d2b0131165c9eed54a2d2133249494157","4ef554252a7d969264fba0c52f5c4d036e968bd3816b380f8ea02f0d3bd7c93f"
"15","physical_rubble","1","1","1","3100500101","24647833","true","1977","1977","true","false","false","false","1980","5345601","67936","5a55b10afbb438bbaf307a26639e2f2ac2380fbaa5f877296ad099b26f275dd3","4255eb6611477618936da48e4f39d48d2b0131165c9eed54a2d2133249494157","4ef554252a7d969264fba0c52f5c4d036e968bd3816b380f8ea02f0d3bd7c93f"
"16","capture","0","0","0","3100500200","24647835","true","2146","2146","false","false","false","false","2149","5776954","73443","cb286b575685e9e9e3caa7fe6e8af7eaa1d486a8cd04c528e97846cfad27fd0c","fb1990bb5c095b12ca4f387190cd6c508ac85db48e7959ceeb4ef7c298429494","142bc09c30f19539afc218f7a8d78d38417499d37638a561bdb70b27710606ab"
"17","capture","0","0","1","3100500200","24647836","true","2146","2146","false","false","false","false","2149","5776954","73443","16c6d9f04a109d354fbf032ca1ae9e79e0ef170477834145ae01cce64651de1e","fb1990bb5c095b12ca4f387190cd6c508ac85db48e7959ceeb4ef7c298429494","142bc09c30f19539afc218f7a8d78d38417499d37638a561bdb70b27710606ab"
"18","capture","0","1","0","3100500200","24647837","true","2146","2146","false","false","false","false","2149","5776954","73443","ce282a286b12d33ccd3f0cb525be9611447778cd8133372709a3bfb127fc34c1","fb1990bb5c095b12ca4f387190cd6c508ac85db48e7959ceeb4ef7c298429494","142bc09c30f19539afc218f7a8d78d38417499d37638a561bdb70b27710606ab"
"19","capture","0","1","1","3100500200","24647838","true","2146","2146","false","false","false","false","2149","5776954","73443","6d9080579096d0dfcf0e407ce486fc664a427fc5073a48cf96bb4dd5add8925e","fb1990bb5c095b12ca4f387190cd6c508ac85db48e7959ceeb4ef7c298429494","142bc09c30f19539afc218f7a8d78d38417499d37638a561bdb70b27710606ab"
"20","capture","1","0","0","3100500201","24647839","true","2432","2432","false","false","false","false","2435","6630521","82692","e74430818a89090326612ef8fadbc5d1937db2e4d13104538c03dc91a12fae8b","0a82dc56bde58e4b414ff2691e5aea4740b58022afd69a4c1cd0538c7689381f","f07fd6a621f66f12a78b7d501047c3f3032656f6e5867b811d2afda336fb4615"
"21","capture","1","0","1","3100500201","24647840","true","2432","2432","false","false","false","false","2435","6630521","82692","88b4a7c9747c987422ca0ab9ad1c2a12ccf62bad4750cd198b8e5be0adfcd375","0a82dc56bde58e4b414ff2691e5aea4740b58022afd69a4c1cd0538c7689381f","f07fd6a621f66f12a78b7d501047c3f3032656f6e5867b811d2afda336fb4615"
