"task_index","scheduler_job_id","map_id","map_file","map_sha256","map_case_index","country","country_ordinal","candidate_slot","candidate_start","opponent_start","engine_seed","repeat","winner","endpoint_status","updates","candidate_buildings","opponent_buildings","source_commit","program_sha256","allocation_sha256","cell_sha256","cell_path"
"10","24603586","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","74","Americans","0","1","151,119","119,152","3002000074","0","candidate","candidate_win","19985","6","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","033236977e6868bc42e21fc6d8508e3799e95d05e4373b3d98885c1b785cf928","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-010/cell.json"
"11","24603587","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","83","Americans","0","1","87,157","120,83","3002000083","0","candidate","candidate_win","11716","6","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","6d1824ea0765c6e83eff00d564566914ce170d35c1bf74d1d5a92a51e86405cd","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-011/cell.json"
"12","24603588","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","89","Americans","0","1","50,121","146,76","3002000089","0","candidate","candidate_win","13336","8","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","92d782793fb887fa68c9f780914ad7e66252001b34d23f4d229d4304eded58ac","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-012/cell.json"
"13","24603589","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","93","Americans","0","1","119,152","151,119","3002000093","0","candidate","candidate_win","13864","9","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","c4ab96f623d245e94bf31956fc7be6c80e7bbf475430f93de46531d62d5faa1e","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-013/cell.json"
"14","24603590","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","102","Americans","0","1","146,76","50,121","3002000102","0","candidate","candidate_win","65555","17","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","c0a36da15b79c9ad43962cefa0488e9353890971df6ef51d84db64d1af88f4d4","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-014/cell.json"
"15","24603591","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","108","Americans","0","1","120,83","87,157","3002000108","0","candidate","candidate_win","16138","11","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","65df10c8cc82f0ef4bf9c951df1043d9672f59707cab39b556eed83b2491f4d2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-015/cell.json"
"16","24603592","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","112","Alliance","1","0","39,82","88,34","3002000112","0","opponent","baseline_win","7456","0","5","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","53d5d1e4bb20e8a3593c9de159fcffc98523e2218d954e481515977bf13160ae","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-016/cell.json"
"17","24603593","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","119","Alliance","1","0","88,34","39,82","3002000119","0","candidate","candidate_win","11272","8","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","c6ee042962f60e285f127a81775a213960b65e4c6c73057e048c9d3c876348df","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-017/cell.json"
"18","24603594","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","131","Alliance","1","0","151,119","146,76","3002000131","0","opponent","baseline_win","14468","0","5","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","8eb7c806a88e9c6e73d887a77049e7ca33ab6d239d2c4971310b24090a673d68","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-018/cell.json"
"19","24603595","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","137","Alliance","1","0","87,157","119,152","3002000137","0","opponent","baseline_win","30682","0","7","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","8f63a60fc334a4b5eaef376fb452c3992b8a8f541cf3c4d5d8e71c527fbe1905","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-019/cell.json"
"20","24603596","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","146","Alliance","1","0","50,121","120,83","3002000146","0","candidate","candidate_win","19625","10","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","050f6e8c84360e330306700a747be04296425e22afb12729acadd5390bb4f3e7","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-020/cell.json"
"21","24603597","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","149","Alliance","1","0","119,152","151,119","3002000149","0","opponent","baseline_win","9431","0","5","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","98d986cf94704dcb0a2473c7ee2f3fb41d375b1e04334a8f021f289961fa398b","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-021/cell.json"
"22","24603598","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","158","Alliance","1","0","146,76","50,121","3002000158","0","opponent","baseline_win","23929","0","7","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","1b34b48fba31fb53c6bb19c7080caff3d7c5fe9675c30387bf5169c24be34dfc","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-022/cell.json"
