"map_id","stratum_type","stratum","games","wins","draws","losses","winRate","scoreRate","oneSided95WilsonWinLower","medianLiteralWinUpdates","tickCapCount","source_path"
"hfo-golden","slot","1","54","34","3","17","0.6296296296296297","0.6574074074074074","0.5177823179199696","17744.5","3","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","start","119,152","18","17","0","1","0.9444444444444444","0.9444444444444444","0.7852331161361741","15448","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","start","120,83","18","12","0","6","0.6666666666666666","0.6666666666666666","0.47309956069173476","19838.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","start","151,119","18","10","0","8","0.5555555555555556","0.5555555555555556","0.368528895499344","23139","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","start","39,82","18","6","7","5","0.3333333333333333","0.5277777777777778","0.18332209055179066","11239","6","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","start","50,121","18","1","0","17","0.05555555555555555","0.05555555555555555","0.01249319576298945","53680","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","start","88,34","18","18","0","0","1","1","0.8693324104198326","18908.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","0","12","10","0","2","0.8333333333333334","0.8333333333333334","0.6007930895845338","15433","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","1","12","7","1","4","0.5833333333333334","0.625","0.35598101490059175","13192","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","2","12","7","2","3","0.5833333333333334","0.6666666666666666","0.35598101490059175","18524","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","3","12","8","0","4","0.6666666666666666","0.6666666666666666","0.4314916133434116","16536.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","4","12","8","0","4","0.6666666666666666","0.6666666666666666","0.4314916133434116","20027.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","5","12","5","2","5","0.4166666666666667","0.5","0.21997788069182345","10453","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","6","12","7","0","5","0.5833333333333334","0.5833333333333334","0.35598101490059175","20320","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","7","12","4","0","8","0.3333333333333333","0.3333333333333333","0.15948534492587516","9985.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-golden","country","8","12","8","2","2","0.6666666666666666","0.75","0.4314916133434116","20102","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","faction","Allied","40","31","0","9","0.775","0.775","0.6510377124360877","19299","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","faction","Soviet","32","20","0","12","0.625","0.625","0.47973358290003665","21248.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","slot","0","36","22","0","14","0.6111111111111112","0.6111111111111112","0.47422226202473","19811.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","slot","1","36","29","0","7","0.8055555555555556","0.8055555555555556","0.6774021913497317","20132","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","start","151,119","18","14","0","4","0.7777777777777778","0.7777777777777778","0.5868786333177903","23058","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","start","39,82","18","5","0","13","0.2777777777777778","0.2777777777777778","0.14232387013748057","8626","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","start","87,157","18","17","0","1","0.9444444444444444","0.9444444444444444","0.7852331161361741","16633","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","start","88,34","18","15","0","3","0.8333333333333334","0.8333333333333334","0.6481957285589761","19675","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
