"label","jobId","account","partition","state","exitCode","restarts","cpus","elapsedSeconds"
"24728661","24728661","pi_jss233","day","COMPLETED","0:0","0","1","11"
"24728660_0","24728662","pi_jss233","day","COMPLETED","0:0","0","1","526"
"24728660_1","24728663","pi_jss233","day","COMPLETED","0:0","0","1","624"
"24728660_2","24728664","pi_jss233","day","COMPLETED","0:0","0","1","464"
"24728660_3","24728660","pi_jss233","day","COMPLETED","0:0","0","1","426"
