"label","jobId","state","exitCode","account","partition","cpus","restarts","elapsedSeconds"
"27061644_79","27062480","COMPLETED","0:0","pi_jss233","day","1","0","1021"
"27061644_80","27062481","COMPLETED","0:0","pi_jss233","day","1","0","403"
"27061644_81","27062482","COMPLETED","0:0","pi_jss233","day","1","0","750"
"27061644_82","27062497","COMPLETED","0:0","pi_jss233","day","1","0","930"
"27061644_83","27062498","COMPLETED","0:0","pi_jss233","day","1","0","696"
"27061644_84","27062499","COMPLETED","0:0","pi_jss233","day","1","0","992"
"27061644_85","27062500","COMPLETED","0:0","pi_jss233","day","1","0","396"
"27061644_86","27062501","COMPLETED","0:0","pi_jss233","day","1","0","1295"
"27061644_87","27062502","COMPLETED","0:0","pi_jss233","day","1","0","417"
"27061644_88","27062503","COMPLETED","0:0","pi_jss233","day","1","0","487"
"27061644_89","27062504","COMPLETED","0:0","pi_jss233","day","1","0","334"
"27061644_90","27062807","COMPLETED","0:0","pi_jss233","day","1","0","950"
"27061644_91","27062808","COMPLETED","0:0","pi_jss233","day","1","0","611"
"27061644_92","27062809","COMPLETED","0:0","pi_jss233","day","1","0","1204"
"27061644_93","27062810","COMPLETED","0:0","pi_jss233","day","1","0","595"
"27061644_94","27062811","COMPLETED","0:0","pi_jss233","day","1","0","861"
"27061644_95","27062812","COMPLETED","0:0","pi_jss233","day","1","0","352"
"27061644_96","27062813","COMPLETED","0:0","pi_jss233","day","1","0","836"
"27061644_97","27062814","COMPLETED","0:0","pi_jss233","day","1","0","896"
"27061644_98","27063018","COMPLETED","0:0","pi_jss233","day","1","0","570"
"27061644_99","27063019","COMPLETED","0:0","pi_jss233","day","1","0","418"
"27061644_100","27063025","COMPLETED","0:0","pi_jss233","day","1","0","1055"
"27061644_101","27063026","COMPLETED","0:0","pi_jss233","day","1","0","693"
"27061644_102","27063032","COMPLETED","0:0","pi_jss233","day","1","0","723"
"27061644_103","27063037","COMPLETED","0:0","pi_jss233","day","1","0","707"
"27061644_104","27063040","COMPLETED","0:0","pi_jss233","day","1","0","903"
"27061644_105","27063042","COMPLETED","0:0","pi_jss233","day","1","0","555"
"27061644_106","27063043","COMPLETED","0:0","pi_jss233","day","1","0","744"
"27061644_107","27063044","COMPLETED","0:0","pi_jss233","day","1","0","586"
"27061644_108","27063047","COMPLETED","0:0","pi_jss233","day","1","0","237"
"27061644_109","27063050","COMPLETED","0:0","pi_jss233","day","1","0","690"
"27061644_110","27063052","COMPLETED","0:0","pi_jss233","day","1","0","271"
"27061644_111","27063053","COMPLETED","0:0","pi_jss233","day","1","0","1212"
"27061644_112","27063054","COMPLETED","0:0","pi_jss233","day","1","0","243"
"27061644_113","27063189","COMPLETED","0:0","pi_jss233","day","1","0","296"
"27061644_114","27063192","COMPLETED","0:0","pi_jss233","day","1","0","575"
"27061644_115","27063193","COMPLETED","0:0","pi_jss233","day","1","0","1108"
"27061644_116","27063214","COMPLETED","0:0","pi_jss233","day","1","0","246"
"27061644_117","27063220","COMPLETED","0:0","pi_jss233","day","1","0","981"
"27061644_118","27063321","COMPLETED","0:0","pi_jss233","day","1","0","416"
