"stratum","opponent","map","pairs","disabledW","disabledD","disabledL","v2W","v2D","v2L","disabledScore","v2Score","pairedScore","pairedWin","disabledStatuses","v2Statuses"
"pinned_supalosa__peak","pinned_supalosa","peak","36","25","7","4","22","9","5","0.7916666666666666","0.7361111111111112","-0.05555555555555555","-0.08333333333333333","{""baseline_win"":4,""candidate_win"":25,""tick_cap_draw"":7}","{""baseline_win"":5,""candidate_win"":22,""tick_cap_draw"":9}"
"pinned_supalosa__south-pacific","pinned_supalosa","south-pacific","36","0","28","8","0","27","9","0.3888888888888889","0.375","-0.013888888888888888","0","{""baseline_win"":8,""engine_nonliteral_termination_draw"":7,""tick_cap_draw"":21}","{""baseline_win"":9,""engine_nonliteral_termination_draw"":5,""tick_cap_draw"":22}"
"pinned_supalosa__south-pacific-2","pinned_supalosa","south-pacific-2","36","3","29","4","1","29","6","0.4861111111111111","0.4305555555555556","-0.05555555555555555","-0.05555555555555555","{""baseline_win"":4,""candidate_win"":3,""tick_cap_draw"":29}","{""baseline_win"":6,""candidate_win"":1,""engine_nonliteral_termination_draw"":2,""tick_cap_draw"":27}"
"pinned_supalosa__tour-of-egypt","pinned_supalosa","tour-of-egypt","36","4","0","32","9","0","27","0.1111111111111111","0.25","0.1388888888888889","0.1388888888888889","{""baseline_win"":32,""candidate_win"":4}","{""baseline_win"":27,""candidate_win"":9}"
"ra2web_advanced__hfo-bvb","ra2web_advanced","hfo-bvb","36","16","17","3","4","24","8","0.6805555555555556","0.4444444444444444","-0.2361111111111111","-0.3333333333333333","{""baseline_win"":3,""candidate_win"":16,""tick_cap_draw"":17}","{""baseline_win"":8,""candidate_win"":4,""tick_cap_draw"":24}"
"ra2web_advanced__hfo-corners","ra2web_advanced","hfo-corners","36","9","25","2","5","25","6","0.5972222222222222","0.4861111111111111","-0.1111111111111111","-0.1111111111111111","{""baseline_win"":2,""candidate_win"":9,""tick_cap_draw"":25}","{""baseline_win"":6,""candidate_win"":5,""tick_cap_draw"":25}"
"ra2web_advanced__hfo-corners-b","ra2web_advanced","hfo-corners-b","36","7","27","2","12","24","0","0.5694444444444444","0.6666666666666666","0.09722222222222222","0.1388888888888889","{""baseline_win"":2,""candidate_win"":7,""tick_cap_draw"":27}","{""candidate_win"":12,""tick_cap_draw"":24}"
"ra2web_advanced__hfo-corners-b-golden","ra2web_advanced","hfo-corners-b-golden","36","9","25","2","4","29","3","0.5972222222222222","0.5138888888888888","-0.08333333333333333","-0.1388888888888889","{""baseline_win"":2,""candidate_win"":9,""tick_cap_draw"":25}","{""baseline_win"":3,""candidate_win"":4,""tick_cap_draw"":29}"
"ra2web_advanced__hfo-golden","ra2web_advanced","hfo-golden","36","14","17","5","8","16","12","0.625","0.4444444444444444","-0.18055555555555555","-0.16666666666666666","{""baseline_win"":5,""candidate_win"":14,""tick_cap_draw"":17}","{""baseline_win"":12,""candidate_win"":8,""tick_cap_draw"":16}"
"ra2web_advanced__hfo-le","ra2web_advanced","hfo-le","36","8","23","5","9","23","4","0.5416666666666666","0.5694444444444444","0.027777777777777776","0.027777777777777776","{""baseline_win"":5,""candidate_win"":8,""tick_cap_draw"":23}","{""baseline_win"":4,""candidate_win"":9,""tick_cap_draw"":23}"
"ra2web_advanced__hfo-lvl","ra2web_advanced","hfo-lvl","36","5","24","7","6","25","5","0.4722222222222222","0.5138888888888888","0.041666666666666664","0.027777777777777776","{""baseline_win"":7,""candidate_win"":5,""tick_cap_draw"":24}","{""baseline_win"":5,""candidate_win"":6,""tick_cap_draw"":25}"
"ra2web_advanced__hfo-original","ra2web_advanced","hfo-original","36","13","21","2","10","18","8","0.6527777777777778","0.5277777777777778","-0.125","-0.08333333333333333","{""baseline_win"":2,""candidate_win"":13,""tick_cap_draw"":21}","{""baseline_win"":8,""candidate_win"":10,""tick_cap_draw"":18}"
"ra2web_advanced__hfo-rvr","ra2web_advanced","hfo-rvr","36","7","27","2","6","28","2","0.5694444444444444","0.5555555555555556","-0.013888888888888888","-0.027777777777777776","{""baseline_win"":2,""candidate_win"":7,""tick_cap_draw"":27}","{""baseline_win"":2,""candidate_win"":6,""tick_cap_draw"":28}"
"ra2web_advanced__hfo-tvt","ra2web_advanced","hfo-tvt","36","19","14","3","12","20","4","0.7222222222222222","0.6111111111111112","-0.1111111111111111","-0.19444444444444445","{""baseline_win"":3,""candidate_win"":19,""tick_cap_draw"":14}","{""baseline_win"":4,""candidate_win"":12,""tick_cap_draw"":20}"
