"id","clusters","cases","replicates","meanScore","scoreLower90","meanLiteralWin","literalWinLower90","scoreDigest","winDigest","indexDigest"
"overall","25","900","200000","-0.065","-0.08833333333333333","-0.10222222222222223","-0.13444444444444445","4709fa011ebf29aef7752dde4a33a8bb92420427e96282e4469bb8fb3f77fc4a","ac44fca277a4a1c83cd5cd215b70db6f406e23cbe65d62e3063c796a05013e05","cceca432c690fc149394244b93d02f2a1382e853c1fb07eec7b5a12ec80fce4e"
"supalosa","15","540","200000","-0.062037037037037036","-0.08981481481481482","-0.11296296296296296","-0.1537037037037037","cc8c563a15d4a3f733ab560c76d4d1e53c40341d4bdbd07f3f166a8c2d55199b","433cafdeec3674221cb8f196831fcaf0f21c2d980c77fc143a507ee5a103807e","d7440bb16169cbd0435693b69a8412b528a2a595a531ba4e32bc72ad7d46c733"
"advanced","10","360","200000","-0.06944444444444445","-0.10972222222222222","-0.08611111111111111","-0.1388888888888889","cf485b14504ff015881dcd4d7f83f1f20bc903c7a42d5443a5f703e82c4b6ed7","66ea55c640d9e0ca5cef5e7f5dfc4c6bc5b4481b6097b0c16ea617845027c956","5a6b5a06258ea3a09db20c9033b8d1575e441ff329a374e1ab8cddb85d7ffbf4"
"topology","5","900","200000","-0.065","-0.07575757575757576","-0.10222222222222223","-0.11805555555555555","111ec8258fd48ce2805947f10ba2ca35982c4baeeac4841bdd45ebb06492c876","76a787e75647fa9b4f009702c09be9b8986f4de7e274964e9253c8d78a2fbebb","b455e768318f397e92357b248253c8fdc77749e0260153acbc142582b4db492f"
"supalosaCountryDirection","18","540","200000","-0.062037037037037036","-0.08518518518518518","-0.11296296296296296","-0.13703703703703704","5d6fdec18b948b6dd38f5050dd2ba7148cb8e0f4b466bf20bac9aff460bbbf5b","1bee622f20df9dbaa19c07a344bc9df5ac928a5af3eb3d21a12dffcccbcfeadc","c8e4f2b4ac691fa8d2c43fadc1426abd4e5a74af114fec612dd7d60ac7ae0be1"
"advancedCountryDirection","18","360","200000","-0.06944444444444445","-0.09166666666666666","-0.08611111111111111","-0.1111111111111111","550378352d2749b8a6368f23c9ac0c49e150a7ba0f3443d82a3b78810be0b006","6b79327c1f8702a067bb42b4ccb16d3ab3e6ff4b479f3fde81ba7c4f9e0f922a","a31bf085de9219b0a8a44954852ee01bf1c77e75ee3b4d7a10cbf11a54178879"
