"population","cases","disabledW","disabledD","disabledL","v2W","v2D","v2L","disabledScore","v2Score","pairedScore","pairedWin","scoreLower90","winLower90"
"overall","900","308","404","188","216","471","213","0.5666666666666667","0.5016666666666667","-0.065","-0.10222222222222223","-0.08833333333333333","-0.13444444444444445"
"supalosa","540","201","184","155","140","239","161","0.5425925925925926","0.48055555555555557","-0.062037037037037036","-0.11296296296296296","-0.08981481481481482","-0.1537037037037037"
"advanced","360","107","220","33","76","232","52","0.6027777777777777","0.5333333333333333","-0.06944444444444445","-0.08611111111111111","-0.10972222222222222","-0.1388888888888889"
