"caseIndex","opponent","opponentMapOrdinal","mapId","directionOrdinal","candidateStart","opponentStart","candidateStartOrdinal","opponentStartOrdinal","countryOrdinal","country","candidateSlot","requestedEngineSeed","maxUpdates","stratumId","topologyId","role","schedulerJobId","pairedArtifactSha256","sourceCommit","disabledV5","disabledV6","v2V5","v2V6"
"10","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","5","Africans","0","3350108010","24000","pinned_supalosa__hfo-le","hfo","competitive","27061658","25db11a96513a01f05c177d538f8ac14ed52ad065b32306d2860b7d57cda09f3","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"11","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","5","Africans","1","3350108011","24000","pinned_supalosa__hfo-le","hfo","competitive","27061659","e0c4142f320b301d50635c96ac6651dc25fe311343e001dd94576a26eab997eb","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"12","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","6","Arabs","0","3350108012","24000","pinned_supalosa__hfo-le","hfo","competitive","27061660","c1e44c889a5c312b7a358fa1076285153f03d444e322fbcbb60cd0d232adaffb","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"13","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","6","Arabs","1","3350108013","24000","pinned_supalosa__hfo-le","hfo","competitive","27061661","6bef97a98b0ea46f6d9bff6a536209084cb2b8ae674c78997d63444a9d4c29f1","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""candidate_win"",""tick"":23374,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":23374,""winner"":""candidate""}"
"14","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","7","Confederation","0","3350108014","24000","pinned_supalosa__hfo-le","hfo","competitive","27061662","ffb5690c9b9516f47090f26e3acfd5f424c1fc56db6d78262ba387d237e16c67","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"15","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","7","Confederation","1","3350108015","24000","pinned_supalosa__hfo-le","hfo","competitive","27061663","a9725ecf1c62150b6f34a0dbbdfb520c1f2659879b04de46808424cef770d75e","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":23500,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":23500,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"16","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","8","Russians","0","3350108016","24000","pinned_supalosa__hfo-le","hfo","competitive","27061664","12fd42050621ab5b48b1ef4df563cbd954008e339eac14a6df2422d718b812d2","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"17","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","8","Russians","1","3350108017","24000","pinned_supalosa__hfo-le","hfo","competitive","27061665","b857f3b8c5c9d2012cd9fe19762815ba6b42c3cabbfecf15180d673dcbcaf6db","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"18","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","0","Americans","0","3350108018","24000","pinned_supalosa__hfo-le","hfo","competitive","27061666","1e4ef0304a4d5b4afe40f0aea8eb9ceee9f47db778965a250a4ff129ea2cd939","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"19","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","0","Americans","1","3350108019","24000","pinned_supalosa__hfo-le","hfo","competitive","27061667","989cad7046e97d5a6d30242150ba74ebf3d5b0100c331ab118fd2a877fb0b3fe","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
