"caseIndex","opponent","opponentMapOrdinal","mapId","directionOrdinal","candidateStart","opponentStart","candidateStartOrdinal","opponentStartOrdinal","countryOrdinal","country","candidateSlot","requestedEngineSeed","maxUpdates","stratumId","topologyId","role","schedulerJobId","pairedArtifactSha256","sourceCommit","disabledV5","disabledV6","v2V5","v2V6"
"226","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","5","Africans","0","3350108226","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27065617","e228738cf632e7054df3ee82118b6adf423ec1b83eb8851fc86a595c7b01ffa5","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9092,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9092,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"227","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","5","Africans","1","3350108227","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27065639","9a24108d8892290f1e3b387fb9a76ec6cb9800e9d2b105a5bbcf253ea6369de8","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":12452,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12452,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"228","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","6","Arabs","0","3350108228","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27065640","5246e99147c5eb903c801dbf06e57329692196a7cb58d25202ebd527ac2285d6","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":17225,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":17225,""winner"":""baseline""}","{""status"":""candidate_win"",""tick"":11871,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11871,""winner"":""candidate""}"
"229","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","6","Arabs","1","3350108229","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27065641","94368ede14157c4dc662c00e6b6573c5dad3d4341cb96509adb66d4ec211e2bd","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":7853,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":7853,""winner"":""candidate""}","{""status"":""baseline_win"",""tick"":23138,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":23138,""winner"":""baseline""}"
"230","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","7","Confederation","0","3350108230","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27065642","e1b6819b14b0fc665a2cf03bce740dc96df6b4edb432cb3e7968ca8175eb0f53","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9706,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9706,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":14249,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":14249,""winner"":""candidate""}"
"231","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","7","Confederation","1","3350108231","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27065772","b976978eef28f13495af2efebeee401f9fdabf64f243835f7dcde06114de43b9","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":8372,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":8372,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"232","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","8","Russians","0","3350108232","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066059","e4f0a8da5c4539c5f11552cf4cba11a9865fffe1947e276d7253fd2c9bf9038f","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":8022,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":8022,""winner"":""candidate""}","{""status"":""baseline_win"",""tick"":21896,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":21896,""winner"":""baseline""}"
"233","pinned_supalosa","6","hfo-corners-b-golden","0","39,82","88,34","0","1","8","Russians","1","3350108233","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066061","ba208a01d03b56d38e09fd01922c9a8c241d840f78c39bca97a31b793a40764d","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":11636,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11636,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"234","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","0","Americans","0","3350108234","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066062","0d64c99c83c9e6f0ee0d3e67617ed64192a77544456abe55959b8c1d4c8caabb","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":6388,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6388,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6508,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6508,""winner"":""baseline""}"
"235","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","0","Americans","1","3350108235","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066073","99d9bb983f669890aa2c2ea780637f847921148860a64a4a5d6262f8b91f2281","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":8512,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":8512,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"236","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","1","Alliance","0","3350108236","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066074","241c949017e982dec71310dadde0a9ad2735dc384c2cf964d773962521b40341","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":6448,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6448,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6376,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6376,""winner"":""baseline""}"
"237","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","1","Alliance","1","3350108237","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066076","9aded528c6490deb072e219523ae222cfc9fe80c83a44c4c31432d4b57dd12b7","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9100,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9100,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"238","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","2","French","0","3350108238","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066077","e5c205e9e77274f845d8fab5266da76013d38923969606e782c0bdbda95c90d4","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":7726,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7726,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7360,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7360,""winner"":""baseline""}"
"239","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","2","French","1","3350108239","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066078","3ad390855addce76d2fb934b15c1d0e67d8f1c1c0c97271fdfb944a6a0bfc68f","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":8806,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":8806,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10390,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10390,""winner"":""candidate""}"
"240","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","3","Germans","0","3350108240","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066079","0fcd66a177ff21d0f538bff7c0e2d4a56bb2519bf440ed500ae3ddc428a79196","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":6736,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6736,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6502,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6502,""winner"":""baseline""}"
"241","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","3","Germans","1","3350108241","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066081","bb6f8e9f8e2bb77eb792b296fea5561e4a84ae3809de92e8e52432360c3a56a1","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9172,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9172,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12682,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12682,""winner"":""candidate""}"
"242","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","4","British","0","3350108242","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066083","d792ca7f9e6f1cf47e09029460571516c8d0ca0d57b99e5455673040e4242427","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":6538,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6538,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6826,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":6826,""winner"":""baseline""}"
"243","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","4","British","1","3350108243","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066084","9075afd2a0ec1e5704b3edc688b8d919a6ca9cf752cc233f8fa7e20811f32a44","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9472,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9472,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"244","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","5","Africans","0","3350108244","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066091","c9fd17fc85a72a4343e5730d51d8b24d37af836b2fa1b8c775c0012d0aad4195","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"245","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","5","Africans","1","3350108245","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066207","073bcdea61fbaea1a561ee19e1e43d234e6fd0052d63ec847d0cde04db9550f0","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":8117,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":8117,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7721,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7721,""winner"":""baseline""}"
"246","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","6","Arabs","0","3350108246","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066214","377069260c6d008c054824c3ff809d5457dcaad54533124b61d5b865fcd47dcd","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":9656,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":9656,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":8135,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":8135,""winner"":""baseline""}"
"247","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","6","Arabs","1","3350108247","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066219","2b51029f6611a84b9d18eceb6963d22aa7546a11c70b58f8f8d30210f74f4cb1","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"248","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","7","Confederation","0","3350108248","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066220","eb86d250c3a9ea4dd9335d4644d874f11b5565eb86c9d191b85c8b754edf85c3","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":7789,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7789,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7976,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7976,""winner"":""baseline""}"
"249","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","7","Confederation","1","3350108249","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066221","05b52575e04c5fb273bd190ab63f48e6de36869e8eb8c454a4ad2e5167ab5539","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":9854,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":9854,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7588,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":7588,""winner"":""baseline""}"
"250","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","8","Russians","0","3350108250","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066223","5ec0f0feebd62cefea9121b510d19e9826f104bf3a1274f8fe56118d07656f3f","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""baseline_win"",""tick"":22854,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":22854,""winner"":""baseline""}"
"251","pinned_supalosa","6","hfo-corners-b-golden","1","88,34","39,82","1","0","8","Russians","1","3350108251","24000","pinned_supalosa__hfo-corners-b-golden","hfo","competitive","27066224","73983192b76083c85b0ea0eb109784632e4d7b00a29530539dcf9bd7b6cf7366","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"252","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","0","Americans","0","3350108252","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066225","4898465539d1ad180cb1eb78ec19eaa528d8f353d31e3ec98eae24390d5cab76","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":16585,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":16585,""winner"":""baseline""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"253","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","0","Americans","1","3350108253","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066226","0da4a24591bcc19940da6865a80e29579e9352592cc01f000169dd9c72176bb2","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"254","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","1","Alliance","0","3350108254","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066680","2985350120287429ab4c71a56d54ed4b68cb8376059a150823aa0de822dad275","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":12748,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12748,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12851,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12851,""winner"":""candidate""}"
"255","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","1","Alliance","1","3350108255","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066681","23088f13db982b51725b173ca4fffbb71d182c64282761646dde3e1325cd8253","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":14714,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":14714,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11212,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11212,""winner"":""candidate""}"
"256","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","2","French","0","3350108256","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066682","ab82023c54a28b4f52c07037480fb59134bf9338083048c2be986df3727736dc","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":17858,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":17858,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11776,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11776,""winner"":""candidate""}"
"257","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","2","French","1","3350108257","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066683","a6944d8d79507a2fb2579bc931ff704a820153d4a36f25da742cd9bc591a5257","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":13709,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":13709,""winner"":""candidate""}","{""status"":""baseline_win"",""tick"":22068,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":22068,""winner"":""baseline""}"
"258","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","3","Germans","0","3350108258","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066685","0e9e4b44fa195ef2a495feee392d2bc4d72b837c9d3a60a40921525ff6c3de61","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":21442,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":21442,""winner"":""baseline""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"259","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","3","Germans","1","3350108259","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066687","106e8919487d66d9ce64e5eae5942939bd21d28aec31bc4ae14e6c930b72aaa3","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":20900,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":20900,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":20484,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":20484,""winner"":""baseline""}"
"260","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","4","British","0","3350108260","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066688","dbd9338fd55d523ab31f63cee4952b9fb7a2b1130a4a303d0c6bd2e68bd4f673","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":13174,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":13174,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11426,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11426,""winner"":""candidate""}"
"261","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","4","British","1","3350108261","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066690","10cd3ac1469670d1722bdc329b171d55cb8720671fd796ca125bb33812846532","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":12568,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12568,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12340,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12340,""winner"":""candidate""}"
"262","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","5","Africans","0","3350108262","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066692","dda8c6825a46c0f9498ca1187c212ab514f2c18c6d14f71b3d68d8fb9ab19ad4","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":12640,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12640,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11282,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11282,""winner"":""candidate""}"
"263","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","5","Africans","1","3350108263","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066694","99e7a51ae31633da80f835ec07ecc6dc84f7af3f09677e49eca8b60eca2d71be","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10750,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10750,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9547,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9547,""winner"":""candidate""}"
"264","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","6","Arabs","0","3350108264","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066698","76537959c1c5dcef672a50165ada219bb558302826bffea59fc9ca69e22b8079","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10700,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10700,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11919,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11919,""winner"":""candidate""}"
"265","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","6","Arabs","1","3350108265","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066699","3b4b16c25c59768757460d5f5da5a1ee7bf796e1337b4ce8a5dbbf0159550ca3","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10676,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10676,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12544,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12544,""winner"":""candidate""}"
"266","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","7","Confederation","0","3350108266","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066700","380e3b5238a0ab9ab922efea17dcb90c85c5d05df53268e9acf954695adbeb70","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9646,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9646,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":17470,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":17470,""winner"":""candidate""}"
"267","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","7","Confederation","1","3350108267","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066701","cc465cde2ae36c8c0d24097752bef99ff350d6bf157e97e926e72ae7624cc893","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10428,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10428,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11443,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11443,""winner"":""candidate""}"
"268","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","8","Russians","0","3350108268","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066702","755e84bb0dbbc410f095e266540e6f30e8645fb0310463c89effb4a8fa88d56e","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":12526,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12526,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":21837,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":21837,""winner"":""candidate""}"
"269","pinned_supalosa","7","hfo-bvb","0","87,158","151,119","0","1","8","Russians","1","3350108269","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066719","29ad82743a08d02992c6c50af1ee22a8c8e2040bddd5ca4a6056280d175b4615","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":11794,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":11794,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9652,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9652,""winner"":""candidate""}"
"270","pinned_supalosa","7","hfo-bvb","1","151,119","87,158","1","0","0","Americans","0","3350108270","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066720","e2c8309d1c5611410ab8d2e3c1cac31ead1906157284d768e99a34feff5aae63","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":12609,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":12609,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":11501,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":11501,""winner"":""baseline""}"
"271","pinned_supalosa","7","hfo-bvb","1","151,119","87,158","1","0","0","Americans","1","3350108271","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066722","83d185ca03881fcfcf2c611dc520d0dfe4718ba4b714d11456c111cbaa83f34b","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":16840,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":16840,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":9436,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":9436,""winner"":""baseline""}"
"272","pinned_supalosa","7","hfo-bvb","1","151,119","87,158","1","0","1","Alliance","0","3350108272","24000","pinned_supalosa__hfo-bvb","hfo","competitive","27066723","ab86d295e357903b3cc0086c98b8d5a8d738a703299a0b2bbad0ad4915cf771f","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""baseline_win"",""tick"":11848,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":11848,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":10073,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":10073,""winner"":""baseline""}"
