"contrast","group","stream","domain","cases","clusters","replicates","sortedIndex","scoreMean","scoreLower90","winMean","winLower90","scoreDigest","winDigest","indexDigest","groupOrder","inference"
"unbounded_minus_v2","overall","v6/unbounded_minus_v2/benchmark/overall","unified-intent-budget-diagnostic-d1-bootstrap-v1","200","25","200000","20000","0.055","0.02","0.095","0.055","dad248fafcc4ceeccb03449263c3dd32fe82c0bc567d9623c413b82e47222dcd","837edbc082cc47c345491b4cfb2f611e67bc9ee98b9525c466c4f5f0cd0b63c7","228ff545a9248fd27093935477d69b33564e1738019ea4c9081f9f52e7436284","[{""id"":""pinned_supalosa__hfo-bvb"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-le"",""cases"":8},{""id"":""pinned_supalosa__hfo-lvl"",""cases"":8},{""id"":""pinned_supalosa__hfo-original"",""cases"":8},{""id"":""pinned_supalosa__hfo-rvr"",""cases"":8},{""id"":""pinned_supalosa__hfo-tvt"",""cases"":8},{""id"":""pinned_supalosa__pacific-heights"",""cases"":8},{""id"":""pinned_supalosa__peak"",""cases"":8},{""id"":""pinned_supalosa__south-pacific"",""cases"":8},{""id"":""pinned_supalosa__south-pacific-2"",""cases"":8},{""id"":""pinned_supalosa__tour-of-egypt"",""cases"":8},{""id"":""ra2web_advanced__hfo-bvb"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-le"",""cases"":8},{""id"":""ra2web_advanced__hfo-lvl"",""cases"":8},{""id"":""ra2web_advanced__hfo-original"",""cases"":8},{""id"":""ra2web_advanced__hfo-rvr"",""cases"":8},{""id"":""ra2web_advanced__hfo-tvt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
"unbounded_minus_v2","supalosa","v6/unbounded_minus_v2/benchmark/supalosa","unified-intent-budget-diagnostic-d1-bootstrap-v1","120","15","200000","20000","0.03333333333333333","-0.008333333333333333","0.058333333333333334","0.008333333333333333","1a00c9ec9948258f05fa7009b6053328f2e0ad157154364110cb6396415df3a4","35a7f2ed788601bdebf41918699ecef946155a5150ad5ce1a4ce18e0250f43d6","53f2acf1d6d2b212b71a2e8dbf64a7985dae4f4fec7169de0d7627ef1acc50b2","[{""id"":""pinned_supalosa__hfo-bvb"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-le"",""cases"":8},{""id"":""pinned_supalosa__hfo-lvl"",""cases"":8},{""id"":""pinned_supalosa__hfo-original"",""cases"":8},{""id"":""pinned_supalosa__hfo-rvr"",""cases"":8},{""id"":""pinned_supalosa__hfo-tvt"",""cases"":8},{""id"":""pinned_supalosa__pacific-heights"",""cases"":8},{""id"":""pinned_supalosa__peak"",""cases"":8},{""id"":""pinned_supalosa__south-pacific"",""cases"":8},{""id"":""pinned_supalosa__south-pacific-2"",""cases"":8},{""id"":""pinned_supalosa__tour-of-egypt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
"unbounded_minus_v2","advanced","v6/unbounded_minus_v2/benchmark/advanced","unified-intent-budget-diagnostic-d1-bootstrap-v1","80","10","200000","20000","0.0875","0.025","0.15","0.0875","033156f5d410424656d95286cab2f69270cdd12d31b0b1210950da8b7ebbe303","41dc02e2394e849bda27f73d2991f1351ef19fa9aa7539acc1b8013564ae1814","5d21f9a6f4b444f2c911f349a3aa89eeae83a958c4807592fe890a155749d8e5","[{""id"":""ra2web_advanced__hfo-bvb"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-le"",""cases"":8},{""id"":""ra2web_advanced__hfo-lvl"",""cases"":8},{""id"":""ra2web_advanced__hfo-original"",""cases"":8},{""id"":""ra2web_advanced__hfo-rvr"",""cases"":8},{""id"":""ra2web_advanced__hfo-tvt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
"unbounded_minus_v2","topology","v6/unbounded_minus_v2/topology/overall","unified-intent-budget-diagnostic-d1-bootstrap-v1","200","5","200000","20000","0.055","-0.03125","0.095","-0.041666666666666664","a49d318578e292023968e1287352effca42979b8617790c36ef315d12ce6c0ca","38932e6b1b02cb54b4982322803dcc665f7299c29b5a39cca5afe179c2845283","e2ce0685ba808be5277d388248f4bbc057b2d6bfbafb3232e851e7b021b7c5cc","[{""id"":""hfo"",""cases"":160},{""id"":""pacific-heights"",""cases"":8},{""id"":""peak"",""cases"":8},{""id"":""south-pacific"",""cases"":16},{""id"":""tour-of-egypt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
"unbounded_minus_v2","supalosaCountryDirection","v6/unbounded_minus_v2/country-direction/supalosa","unified-intent-budget-diagnostic-d1-bootstrap-v1","120","4","200000","20000","0.03333333333333333","0.016666666666666666","0.058333333333333334","0.03333333333333333","9db99e4894715dce49510de59c30845c4b9ccb626d48673b98669536f9741d06","76e9914b5ff3ad344c57964e886e94c14a1b6d562a4ed4bf82933be61ac417d8","701053e49d51d783f6488c9fd46d495d751d6ebad4e4f015fe5b50b586f4b14b","[{""id"":""Africans/0"",""cases"":30},{""id"":""Africans/1"",""cases"":30},{""id"":""Americans/0"",""cases"":30},{""id"":""Americans/1"",""cases"":30}]","Four clusters: very few; sensitivity description, not reliable population-wide uncertainty."
"unbounded_minus_v2","advancedCountryDirection","v6/unbounded_minus_v2/country-direction/advanced","unified-intent-budget-diagnostic-d1-bootstrap-v1","80","4","200000","20000","0.0875","0.08125","0.15","0.1","f029f9f5d388063ed6a4cfa3ebd83ccdeb50a32ec442617588d43a2b0f988917","149c14d161530c82313f9145cfc582100cc8cc912a1bf7b4229fe361dcb008db","5c5ec33c6d12d5ad629a7fbb37b2f6e54fb8156549d37833c2de78dc239036a6","[{""id"":""Africans/0"",""cases"":20},{""id"":""Africans/1"",""cases"":20},{""id"":""Americans/0"",""cases"":20},{""id"":""Americans/1"",""cases"":20}]","Four clusters: very few; sensitivity description, not reliable population-wide uncertainty."
"unbounded_minus_disabled","overall","v6/unbounded_minus_disabled/benchmark/overall","unified-intent-budget-diagnostic-d1-bootstrap-v1","200","25","200000","20000","-0.0225","-0.04","-0.01","-0.035","2cf0f3deafc65f44b66faeb756945d5b5e632651b43e03085bc7d9583852a398","76825d01856adb41c605b66d2715b811de32090126d407ebef9d9e13deb3dcbd","cf6b13358bba6c5a999570aa4ef511706f7a7c5b1e8e7fb6e3153e9e27407158","[{""id"":""pinned_supalosa__hfo-bvb"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-le"",""cases"":8},{""id"":""pinned_supalosa__hfo-lvl"",""cases"":8},{""id"":""pinned_supalosa__hfo-original"",""cases"":8},{""id"":""pinned_supalosa__hfo-rvr"",""cases"":8},{""id"":""pinned_supalosa__hfo-tvt"",""cases"":8},{""id"":""pinned_supalosa__pacific-heights"",""cases"":8},{""id"":""pinned_supalosa__peak"",""cases"":8},{""id"":""pinned_supalosa__south-pacific"",""cases"":8},{""id"":""pinned_supalosa__south-pacific-2"",""cases"":8},{""id"":""pinned_supalosa__tour-of-egypt"",""cases"":8},{""id"":""ra2web_advanced__hfo-bvb"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-le"",""cases"":8},{""id"":""ra2web_advanced__hfo-lvl"",""cases"":8},{""id"":""ra2web_advanced__hfo-original"",""cases"":8},{""id"":""ra2web_advanced__hfo-rvr"",""cases"":8},{""id"":""ra2web_advanced__hfo-tvt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
"unbounded_minus_disabled","supalosa","v6/unbounded_minus_disabled/benchmark/supalosa","unified-intent-budget-diagnostic-d1-bootstrap-v1","120","15","200000","20000","-0.03333333333333333","-0.05416666666666667","-0.041666666666666664","-0.06666666666666667","089d3834d3c7e751d10e7e640334c0e8146d003c58debf279cf8a2526911c19b","35e67e9e3d7ed7493922c4ee12b16b67c39ae9a6de8e878970b119fb5d71e264","b069781a99df15ca41735f4e459b1d9307e68f4c3c65ef8d14d2ae9b031ab688","[{""id"":""pinned_supalosa__hfo-bvb"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b"",""cases"":8},{""id"":""pinned_supalosa__hfo-corners-b-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-golden"",""cases"":8},{""id"":""pinned_supalosa__hfo-le"",""cases"":8},{""id"":""pinned_supalosa__hfo-lvl"",""cases"":8},{""id"":""pinned_supalosa__hfo-original"",""cases"":8},{""id"":""pinned_supalosa__hfo-rvr"",""cases"":8},{""id"":""pinned_supalosa__hfo-tvt"",""cases"":8},{""id"":""pinned_supalosa__pacific-heights"",""cases"":8},{""id"":""pinned_supalosa__peak"",""cases"":8},{""id"":""pinned_supalosa__south-pacific"",""cases"":8},{""id"":""pinned_supalosa__south-pacific-2"",""cases"":8},{""id"":""pinned_supalosa__tour-of-egypt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
"unbounded_minus_disabled","advanced","v6/unbounded_minus_disabled/benchmark/advanced","unified-intent-budget-diagnostic-d1-bootstrap-v1","80","10","200000","20000","-0.00625","-0.04375","0.0375","0","e588a016a33387f0f25d49473ad600a05d1255a397462b43829a534e56dbdb70","26eb765bb96d0666f65617483c12cbd5dde0e72f3f793d1155c1dea7b7a202f0","31d17b6ed502cfef09f683b05e463117c2bc75312b3b33af15e19c236eadf695","[{""id"":""ra2web_advanced__hfo-bvb"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b"",""cases"":8},{""id"":""ra2web_advanced__hfo-corners-b-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-golden"",""cases"":8},{""id"":""ra2web_advanced__hfo-le"",""cases"":8},{""id"":""ra2web_advanced__hfo-lvl"",""cases"":8},{""id"":""ra2web_advanced__hfo-original"",""cases"":8},{""id"":""ra2web_advanced__hfo-rvr"",""cases"":8},{""id"":""ra2web_advanced__hfo-tvt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
"unbounded_minus_disabled","topology","v6/unbounded_minus_disabled/topology/overall","unified-intent-budget-diagnostic-d1-bootstrap-v1","200","5","200000","20000","-0.0225","-0.026041666666666668","-0.01","-0.011627906976744186","e7c44cb9ae5a664ae8e89877cf10b18346614006289110e297aa73b36082dfa4","8f24bb18023f520a0c585726bb06934f013e0318270bad4e6f5b5da263f86c52","f040949d3add328390ebe49b7b1aa117aeb1cbff316bff0d9b5759e6308e7ced","[{""id"":""hfo"",""cases"":160},{""id"":""pacific-heights"",""cases"":8},{""id"":""peak"",""cases"":8},{""id"":""south-pacific"",""cases"":16},{""id"":""tour-of-egypt"",""cases"":8}]","Open-development filter; retain topology dependence and cluster counts."
