"caseIndex","arm","updates","publicCall","budgetDiagnostics"
"52","disabled","6454","{""sha256"":""bdce2d886b80296a5b189a42cebcfc55f0abd98d7825d86848e8fb87483bb54b"",""bySideAndMethod"":{""baseline.orderUnits"":379,""baseline.placeBuilding"":4,""baseline.queueForProduction"":33,""baseline.setUnitDebugText"":59,""baseline.unqueueFromProduction"":3,""candidate.orderUnits"":451,""candidate.pauseProduction"":20,""candidate.placeBuilding"":5,""candidate.queueForProduction"":42,""candidate.resumeProduction"":19,""candidate.setUnitDebugText"":80,""candidate.toggleRepairWrench"":8,""candidate.unqueueFromProduction"":12}}",""
"52","separated_lanes_v2","6730","{""sha256"":""aab8156ead7e21d27d610f44eae486315a25a9fe6ea3b02a6c7835dd5b8a5a14"",""bySideAndMethod"":{""baseline.orderUnits"":411,""baseline.placeBuilding"":4,""baseline.queueForProduction"":33,""baseline.setUnitDebugText"":59,""baseline.unqueueFromProduction"":3,""candidate.orderUnits"":449,""candidate.pauseProduction"":20,""candidate.placeBuilding"":5,""candidate.queueForProduction"":45,""candidate.resumeProduction"":19,""candidate.setUnitDebugText"":78,""candidate.toggleRepairWrench"":8,""candidate.unqueueFromProduction"":12}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":6730,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":266,""budgetDeniedUnitIdOccurrences"":852,""budgetDeniedDebugCalls"":3,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":6,""maxForwardedChunkSize"":5,""counters"":{""gameplayNonorderCalls"":109,""productionBatches"":77,""proposedCalls"":472,""proposedUnitIds"":515,""forwardedOrderCalls"":449,""forwardedUnitIds"":490,""sameUnitConflicts"":21,""duplicateSuppressions"":4,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":21,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":852,""pendingUnitIds"":852,""debugProposals"":81,""debugCoalesced"":0,""debugForwarded"":78,""debugDropped"":3},""telemetrySha256"":""ae201371fee3e0fde1ec2a458847d419d1e20ed0b1e393663856be7a705d3925""}"
"52","separated_lanes_unbounded_d1","6454","{""sha256"":""f56df2f25f04d433ee8c7dbb4ce171e53f1583e06d5c091b6d797d13f82dc878"",""bySideAndMethod"":{""baseline.orderUnits"":379,""baseline.placeBuilding"":4,""baseline.queueForProduction"":33,""baseline.setUnitDebugText"":59,""baseline.unqueueFromProduction"":3,""candidate.orderUnits"":449,""candidate.pauseProduction"":20,""candidate.placeBuilding"":5,""candidate.queueForProduction"":42,""candidate.resumeProduction"":19,""candidate.setUnitDebugText"":80,""candidate.toggleRepairWrench"":8,""candidate.unqueueFromProduction"":12}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":6454,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":876,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":135,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":6,""counters"":{""gameplayNonorderCalls"":106,""productionBatches"":74,""proposedCalls"":451,""proposedUnitIds"":500,""forwardedOrderCalls"":449,""forwardedUnitIds"":500,""sameUnitConflicts"":0,""duplicateSuppressions"":0,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":80,""debugCoalesced"":0,""debugForwarded"":80,""debugDropped"":0},""telemetrySha256"":""8b10ea9c3b3020a662ba0e9c92ece9deb6bf4b28f50345ae2b0c3ef46631f467""}"
"53","disabled","10036","{""sha256"":""12350040e37b5a520dff450e472512eb6b3c33b1bba1481c5514e134990b1e52"",""bySideAndMethod"":{""baseline.orderUnits"":183,""baseline.placeBuilding"":5,""baseline.queueForProduction"":56,""baseline.quitGame"":33,""baseline.setUnitDebugText"":46,""baseline.toggleRepairWrench"":9,""baseline.unqueueFromProduction"":20,""candidate.orderUnits"":1234,""candidate.pauseProduction"":8,""candidate.placeBuilding"":7,""candidate.queueForProduction"":53,""candidate.resumeProduction"":8,""candidate.setUnitDebugText"":193,""candidate.unqueueFromProduction"":7}}",""
"53","separated_lanes_v2","11146","{""sha256"":""0ab9043fbba32a8e28085c64d2256f90649d466879aa34cc8cf2b543582caa47"",""bySideAndMethod"":{""baseline.orderUnits"":173,""baseline.placeBuilding"":7,""baseline.queueForProduction"":53,""baseline.quitGame"":64,""baseline.setUnitDebugText"":42,""baseline.toggleRepairWrench"":14,""baseline.unqueueFromProduction"":20,""candidate.orderUnits"":1091,""candidate.pauseProduction"":9,""candidate.placeBuilding"":7,""candidate.queueForProduction"":53,""candidate.resumeProduction"":8,""candidate.setUnitDebugText"":70,""candidate.unqueueFromProduction"":7}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":11146,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":3173,""budgetDeniedUnitIdOccurrences"":16701,""budgetDeniedDebugCalls"":75,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":19,""maxForwardedChunkSize"":15,""counters"":{""gameplayNonorderCalls"":84,""productionBatches"":72,""proposedCalls"":1366,""proposedUnitIds"":2138,""forwardedOrderCalls"":1091,""forwardedUnitIds"":1811,""sameUnitConflicts"":245,""duplicateSuppressions"":58,""invalidUnitIds"":3,""invalidTargets"":20,""invalidTiles"":0,""supersededPending"":260,""expiredPending"":1,""revokedPending"":0,""deferredUnitIds"":16701,""pendingUnitIds"":16701,""debugProposals"":145,""debugCoalesced"":0,""debugForwarded"":70,""debugDropped"":75},""telemetrySha256"":""4c5244d07ba82bca8aba1ff878f8e0d054c91c7cbedf75ca880e8359e2d94f74""}"
"53","separated_lanes_unbounded_d1","10485","{""sha256"":""112441404a8f8c5eab6e60bc4dbfd31d21d15f45d17f5b81cef211428e4c565e"",""bySideAndMethod"":{""baseline.orderUnits"":211,""baseline.placeBuilding"":6,""baseline.queueForProduction"":53,""baseline.quitGame"":48,""baseline.setUnitDebugText"":42,""baseline.toggleRepairWrench"":15,""baseline.unqueueFromProduction"":18,""candidate.orderUnits"":1157,""candidate.pauseProduction"":9,""candidate.placeBuilding"":7,""candidate.queueForProduction"":52,""candidate.resumeProduction"":8,""candidate.setUnitDebugText"":179,""candidate.unqueueFromProduction"":7}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":10485,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":6576,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":202,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":14,""counters"":{""gameplayNonorderCalls"":83,""productionBatches"":72,""proposedCalls"":1203,""proposedUnitIds"":1958,""forwardedOrderCalls"":1157,""forwardedUnitIds"":1939,""sameUnitConflicts"":0,""duplicateSuppressions"":19,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":179,""debugCoalesced"":0,""debugForwarded"":179,""debugDropped"":0},""telemetrySha256"":""deda169ed079c9920f42a216408e1674060101baaa2634de591107353b7a438d""}"
"54","disabled","24000","{""sha256"":""c8eb3dcf80dd99d195018c29102884521d3b572cc5b1f2272807005b07e8bd93"",""bySideAndMethod"":{""baseline.orderUnits"":774,""baseline.placeBuilding"":6,""baseline.queueForProduction"":85,""baseline.setUnitDebugText"":164,""baseline.toggleRepairWrench"":2,""baseline.unqueueFromProduction"":29,""candidate.orderUnits"":2257,""candidate.pauseProduction"":53,""candidate.placeBuilding"":10,""candidate.queueForProduction"":116,""candidate.resumeProduction"":51,""candidate.setUnitDebugText"":329,""candidate.toggleRepairWrench"":2,""candidate.unqueueFromProduction"":39}}",""
"54","separated_lanes_v2","20286","{""sha256"":""dddeeb4418446590399622e4fc36d93d930d8232afb342c641179bb2fdd0e859"",""bySideAndMethod"":{""baseline.orderUnits"":731,""baseline.placeBuilding"":6,""baseline.queueForProduction"":60,""baseline.setUnitDebugText"":236,""baseline.unqueueFromProduction"":11,""candidate.orderUnits"":1099,""candidate.pauseProduction"":17,""candidate.placeBuilding"":13,""candidate.queueForProduction"":81,""candidate.quitGame"":28,""candidate.resumeProduction"":14,""candidate.setUnitDebugText"":129,""candidate.toggleRepairWrench"":15,""candidate.unqueueFromProduction"":15}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":20286,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":674,""budgetDeniedUnitIdOccurrences"":1416,""budgetDeniedDebugCalls"":50,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":11,""maxForwardedChunkSize"":12,""counters"":{""gameplayNonorderCalls"":183,""productionBatches"":105,""proposedCalls"":1203,""proposedUnitIds"":1472,""forwardedOrderCalls"":1099,""forwardedUnitIds"":1422,""sameUnitConflicts"":35,""duplicateSuppressions"":15,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":35,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":1416,""pendingUnitIds"":1416,""debugProposals"":179,""debugCoalesced"":0,""debugForwarded"":129,""debugDropped"":50},""telemetrySha256"":""0f419b2bcaa8721acdbb9c25fbb2bf020475e5fe39647f400f3730499059a959""}"
"54","separated_lanes_unbounded_d1","24000","{""sha256"":""bd5c1d70bf51440d56fdd00f5799963ecf7e86f42a757e1a5d912bd74d9383ae"",""bySideAndMethod"":{""baseline.orderUnits"":774,""baseline.placeBuilding"":6,""baseline.queueForProduction"":85,""baseline.setUnitDebugText"":164,""baseline.toggleRepairWrench"":2,""baseline.unqueueFromProduction"":29,""candidate.orderUnits"":2090,""candidate.pauseProduction"":53,""candidate.placeBuilding"":10,""candidate.queueForProduction"":116,""candidate.resumeProduction"":51,""candidate.setUnitDebugText"":329,""candidate.toggleRepairWrench"":2,""candidate.unqueueFromProduction"":39}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":4836,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":212,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":13,""counters"":{""gameplayNonorderCalls"":271,""productionBatches"":197,""proposedCalls"":2257,""proposedUnitIds"":2639,""forwardedOrderCalls"":2090,""forwardedUnitIds"":2636,""sameUnitConflicts"":0,""duplicateSuppressions"":3,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":329,""debugCoalesced"":0,""debugForwarded"":329,""debugDropped"":0},""telemetrySha256"":""9680fb5fd960ffe8e86c53cbac0b3fbc71c2e3fcdbf07d4ce6ff2871bc32ff5c""}"
"55","disabled","8165","{""sha256"":""ffb70f7d0a67f782893ef1b4ffc4712640f5b42e92350959fc5a54a2d7c55e38"",""bySideAndMethod"":{""baseline.orderUnits"":350,""baseline.placeBuilding"":5,""baseline.queueForProduction"":56,""baseline.setUnitDebugText"":78,""baseline.unqueueFromProduction"":4,""candidate.orderUnits"":656,""candidate.pauseProduction"":24,""candidate.placeBuilding"":6,""candidate.queueForProduction"":67,""candidate.resumeProduction"":22,""candidate.setUnitDebugText"":136,""candidate.toggleRepairWrench"":13,""candidate.unqueueFromProduction"":17}}",""
"55","separated_lanes_v2","8606","{""sha256"":""41c62f917f7458b967191b7a64ca2bead48c71ae9e58d445f2b1563e7a26bf03"",""bySideAndMethod"":{""baseline.orderUnits"":371,""baseline.placeBuilding"":5,""baseline.queueForProduction"":56,""baseline.setUnitDebugText"":78,""baseline.unqueueFromProduction"":4,""candidate.orderUnits"":655,""candidate.pauseProduction"":22,""candidate.placeBuilding"":6,""candidate.queueForProduction"":67,""candidate.resumeProduction"":20,""candidate.setUnitDebugText"":93,""candidate.toggleRepairWrench"":13,""candidate.unqueueFromProduction"":16}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":8606,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":457,""budgetDeniedUnitIdOccurrences"":1140,""budgetDeniedDebugCalls"":45,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":11,""maxForwardedChunkSize"":12,""counters"":{""gameplayNonorderCalls"":144,""productionBatches"":98,""proposedCalls"":680,""proposedUnitIds"":931,""forwardedOrderCalls"":655,""forwardedUnitIds"":894,""sameUnitConflicts"":29,""duplicateSuppressions"":8,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":29,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":1140,""pendingUnitIds"":1140,""debugProposals"":138,""debugCoalesced"":0,""debugForwarded"":93,""debugDropped"":45},""telemetrySha256"":""59e4c77166b9d78df2a97b8af78affe915098540c49a6cfd0b38114e421747c5""}"
"55","separated_lanes_unbounded_d1","8165","{""sha256"":""6aaeea71826a62a39cd3a7233d263c438ec9adcd0a0850c382522b990156cf86"",""bySideAndMethod"":{""baseline.orderUnits"":350,""baseline.placeBuilding"":5,""baseline.queueForProduction"":56,""baseline.setUnitDebugText"":78,""baseline.unqueueFromProduction"":4,""candidate.orderUnits"":648,""candidate.pauseProduction"":24,""candidate.placeBuilding"":6,""candidate.queueForProduction"":67,""candidate.resumeProduction"":22,""candidate.setUnitDebugText"":136,""candidate.toggleRepairWrench"":13,""candidate.unqueueFromProduction"":17}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":8165,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":2316,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":152,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":13,""counters"":{""gameplayNonorderCalls"":149,""productionBatches"":99,""proposedCalls"":656,""proposedUnitIds"":899,""forwardedOrderCalls"":648,""forwardedUnitIds"":899,""sameUnitConflicts"":0,""duplicateSuppressions"":0,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":136,""debugCoalesced"":0,""debugForwarded"":136,""debugDropped"":0},""telemetrySha256"":""ef84a1e65de0a3706bfda380485a55f54d306f95629903d7568f92d253f868e5""}"
"56","disabled","24000","{""sha256"":""46976e53df21b557ff26fabae90032748121b4d6dc175e93bb79945ccbd86f82"",""bySideAndMethod"":{""baseline.orderUnits"":888,""baseline.placeBuilding"":7,""baseline.queueForProduction"":85,""baseline.setUnitDebugText"":81,""baseline.unqueueFromProduction"":38,""candidate.orderUnits"":349,""candidate.pauseProduction"":13,""candidate.placeBuilding"":13,""candidate.queueForProduction"":96,""candidate.resumeProduction"":13,""candidate.setUnitDebugText"":119,""candidate.toggleRepairWrench"":24,""candidate.unqueueFromProduction"":57}}",""
"56","separated_lanes_v2","20537","{""sha256"":""e9ea69f672bd5da0b82011911ed85a34d7637e3eb9d1691577824935fb01bdda"",""bySideAndMethod"":{""baseline.orderUnits"":736,""baseline.placeBuilding"":7,""baseline.queueForProduction"":65,""baseline.setUnitDebugText"":77,""baseline.toggleRepairWrench"":5,""baseline.unqueueFromProduction"":21,""candidate.activateSuperWeapon"":3,""candidate.orderUnits"":596,""candidate.pauseProduction"":9,""candidate.placeBuilding"":9,""candidate.queueForProduction"":55,""candidate.resumeProduction"":8,""candidate.setUnitDebugText"":186,""candidate.toggleRepairWrench"":10,""candidate.unqueueFromProduction"":11}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":20537,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":137,""budgetDeniedUnitIdOccurrences"":204,""budgetDeniedDebugCalls"":24,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":2,""maxForwardedChunkSize"":10,""counters"":{""gameplayNonorderCalls"":105,""productionBatches"":80,""proposedCalls"":608,""proposedUnitIds"":1146,""forwardedOrderCalls"":596,""forwardedUnitIds"":1136,""sameUnitConflicts"":3,""duplicateSuppressions"":7,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":3,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":204,""pendingUnitIds"":204,""debugProposals"":210,""debugCoalesced"":0,""debugForwarded"":186,""debugDropped"":24},""telemetrySha256"":""d724f3b1e979dd25b95a363a9be07c3d7f100b161c6289deb0f9421ea0b85264""}"
"56","separated_lanes_unbounded_d1","24000","{""sha256"":""cbf7adc8052b1c2eaddfd55384d00639e032953078930b39c148118862b275bc"",""bySideAndMethod"":{""baseline.orderUnits"":809,""baseline.placeBuilding"":7,""baseline.queueForProduction"":78,""baseline.setUnitDebugText"":80,""baseline.toggleRepairWrench"":11,""baseline.unqueueFromProduction"":32,""candidate.activateSuperWeapon"":1,""candidate.orderUnits"":685,""candidate.pauseProduction"":20,""candidate.placeBuilding"":8,""candidate.queueForProduction"":91,""candidate.resumeProduction"":18,""candidate.setUnitDebugText"":300,""candidate.toggleRepairWrench"":3,""candidate.unqueueFromProduction"":29}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":840,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":146,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":9,""counters"":{""gameplayNonorderCalls"":170,""productionBatches"":146,""proposedCalls"":689,""proposedUnitIds"":1388,""forwardedOrderCalls"":685,""forwardedUnitIds"":1381,""sameUnitConflicts"":0,""duplicateSuppressions"":7,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":300,""debugCoalesced"":0,""debugForwarded"":300,""debugDropped"":0},""telemetrySha256"":""4b32ce5616807d31a9065446342ffe08bc3724faa772f71a1c851d997b06cf5f""}"
"57","disabled","14644","{""sha256"":""396062736618c3212a04571f0c7b97a111d5eed33acc0dfa6aaa9ef3d3158538"",""bySideAndMethod"":{""baseline.orderUnits"":440,""baseline.placeBuilding"":8,""baseline.queueForProduction"":36,""baseline.setUnitDebugText"":35,""baseline.toggleRepairWrench"":4,""baseline.unqueueFromProduction"":7,""candidate.orderUnits"":1352,""candidate.pauseProduction"":1,""candidate.placeBuilding"":6,""candidate.queueForProduction"":52,""candidate.resumeProduction"":1,""candidate.setUnitDebugText"":160,""candidate.unqueueFromProduction"":5}}",""
"57","separated_lanes_v2","14128","{""sha256"":""3b299184eed89f10bc62673420fb700c42564811899912487002e8cdc941094e"",""bySideAndMethod"":{""baseline.orderUnits"":463,""baseline.placeBuilding"":8,""baseline.queueForProduction"":38,""baseline.setUnitDebugText"":34,""baseline.toggleRepairWrench"":2,""baseline.unqueueFromProduction"":9,""candidate.orderUnits"":857,""candidate.pauseProduction"":1,""candidate.placeBuilding"":6,""candidate.queueForProduction"":52,""candidate.resumeProduction"":1,""candidate.setUnitDebugText"":157,""candidate.unqueueFromProduction"":5}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":14128,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":330,""budgetDeniedUnitIdOccurrences"":888,""budgetDeniedDebugCalls"":33,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":7,""maxForwardedChunkSize"":9,""counters"":{""gameplayNonorderCalls"":65,""productionBatches"":58,""proposedCalls"":878,""proposedUnitIds"":1753,""forwardedOrderCalls"":857,""forwardedUnitIds"":1734,""sameUnitConflicts"":11,""duplicateSuppressions"":8,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":11,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":888,""pendingUnitIds"":888,""debugProposals"":190,""debugCoalesced"":0,""debugForwarded"":157,""debugDropped"":33},""telemetrySha256"":""e95d4af8a0c989318607970c3d8e9f13cd0bb7f006e307796f28d51549140978""}"
"57","separated_lanes_unbounded_d1","14392","{""sha256"":""ef796898eb0abae3699d8075cd26e715beee012363d6727406a7fd0eec35ca56"",""bySideAndMethod"":{""baseline.orderUnits"":430,""baseline.placeBuilding"":8,""baseline.queueForProduction"":38,""baseline.setUnitDebugText"":36,""baseline.toggleRepairWrench"":8,""baseline.unqueueFromProduction"":8,""candidate.orderUnits"":741,""candidate.pauseProduction"":1,""candidate.placeBuilding"":6,""candidate.queueForProduction"":52,""candidate.resumeProduction"":1,""candidate.setUnitDebugText"":165,""candidate.unqueueFromProduction"":5}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":14392,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":840,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":146,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":9,""counters"":{""gameplayNonorderCalls"":65,""productionBatches"":58,""proposedCalls"":754,""proposedUnitIds"":1348,""forwardedOrderCalls"":741,""forwardedUnitIds"":1339,""sameUnitConflicts"":0,""duplicateSuppressions"":9,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":165,""debugCoalesced"":0,""debugForwarded"":165,""debugDropped"":0},""telemetrySha256"":""7c7f0c75c83bec41e15810d0ee822c94ffa3e7ac8896e7fb7d9d89cdc430ec40""}"
"58","disabled","9816","{""sha256"":""eb93ea07533dfd244a3b0d391fdc0e71807bde1f7e29a086bd7cd609ca25e95c"",""bySideAndMethod"":{""baseline.orderUnits"":443,""baseline.placeBuilding"":7,""baseline.queueForProduction"":61,""baseline.setUnitDebugText"":89,""baseline.toggleRepairWrench"":10,""baseline.unqueueFromProduction"":7,""candidate.orderUnits"":808,""candidate.pauseProduction"":2,""candidate.placeBuilding"":6,""candidate.queueForProduction"":71,""candidate.resumeProduction"":2,""candidate.setUnitDebugText"":248,""candidate.unqueueFromProduction"":3}}",""
"58","separated_lanes_v2","11556","{""sha256"":""5f676487602246c45520deff37d36f9d2b10581ef9b2baac5e86d6b058329955"",""bySideAndMethod"":{""baseline.orderUnits"":435,""baseline.placeBuilding"":7,""baseline.queueForProduction"":59,""baseline.setUnitDebugText"":90,""baseline.toggleRepairWrench"":8,""baseline.unqueueFromProduction"":8,""candidate.orderUnits"":982,""candidate.pauseProduction"":2,""candidate.placeBuilding"":6,""candidate.queueForProduction"":75,""candidate.resumeProduction"":2,""candidate.setUnitDebugText"":122,""candidate.unqueueFromProduction"":3}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":11556,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":997,""budgetDeniedUnitIdOccurrences"":4956,""budgetDeniedDebugCalls"":76,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":18,""maxForwardedChunkSize"":22,""counters"":{""gameplayNonorderCalls"":88,""productionBatches"":80,""proposedCalls"":1041,""proposedUnitIds"":3577,""forwardedOrderCalls"":982,""forwardedUnitIds"":3476,""sameUnitConflicts"":90,""duplicateSuppressions"":11,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":90,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":4956,""pendingUnitIds"":4956,""debugProposals"":198,""debugCoalesced"":0,""debugForwarded"":122,""debugDropped"":76},""telemetrySha256"":""4fe541307e5ac41ffa49cdb9f3c1b4cc6c2bd6ce0a7d1bcce73131dc18f3099e""}"
"58","separated_lanes_unbounded_d1","9816","{""sha256"":""9708e906be676a559e00123044a740fe91faf424ad42998e5b8b43cbb7b709a2"",""bySideAndMethod"":{""baseline.orderUnits"":443,""baseline.placeBuilding"":7,""baseline.queueForProduction"":61,""baseline.setUnitDebugText"":89,""baseline.toggleRepairWrench"":10,""baseline.unqueueFromProduction"":7,""candidate.orderUnits"":805,""candidate.pauseProduction"":2,""candidate.placeBuilding"":6,""candidate.queueForProduction"":71,""candidate.resumeProduction"":2,""candidate.setUnitDebugText"":248,""candidate.unqueueFromProduction"":3}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":9816,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":3108,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":184,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":28,""counters"":{""gameplayNonorderCalls"":84,""productionBatches"":76,""proposedCalls"":808,""proposedUnitIds"":3193,""forwardedOrderCalls"":805,""forwardedUnitIds"":3190,""sameUnitConflicts"":0,""duplicateSuppressions"":3,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":248,""debugCoalesced"":0,""debugForwarded"":248,""debugDropped"":0},""telemetrySha256"":""ccf70ff1a996e1e011b4ee57e90a3ba8ec6a9fa252e99472c479dc044a8333a3""}"
