"arm","stratumId","cases","transitions","statusTransitions","changedFirstTick"
"separated_lanes_v2","ra2web_advanced__hfo-lvl","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":4,""candidate_win->candidate_win"":2}","0"
"separated_lanes_v2","ra2web_advanced__hfo-original","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":3,""candidate_win->candidate_win"":2}","0"
"separated_lanes_v2","ra2web_advanced__hfo-rvr","8","{""W->W"":0,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":6,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":6}","0"
"separated_lanes_v2","ra2web_advanced__hfo-tvt","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":4,""candidate_win->candidate_win"":2}","0"
"separated_lanes_unbounded_d1","pinned_supalosa__hfo-bvb","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""tick_cap_draw->tick_cap_draw"":2,""candidate_win->candidate_win"":3,""baseline_win->baseline_win"":3}","0"
"separated_lanes_unbounded_d1","pinned_supalosa__hfo-corners","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":2,""candidate_win->candidate_win"":3}","0"
"separated_lanes_unbounded_d1","pinned_supalosa__hfo-corners-b","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""candidate_win->candidate_win"":3,""tick_cap_draw->tick_cap_draw"":2}","0"
"separated_lanes_unbounded_d1","pinned_supalosa__hfo-corners-b-golden","8","{""W->W"":4,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""tick_cap_draw->tick_cap_draw"":2,""candidate_win->candidate_win"":4,""baseline_win->baseline_win"":2}","0"
"separated_lanes_unbounded_d1","pinned_supalosa__hfo-golden","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":2,""candidate_win->candidate_win"":3}","0"
"separated_lanes_unbounded_d1","pinned_supalosa__hfo-le","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":3,""candidate_win->candidate_win"":3}","0"
