"group","id","arm","episodes","observedUpdates","publicCalls","publicCallsPerObservedUpdate","budgetDiagnostics"
"strata","pinned_supalosa__tour-of-egypt","disabled","8","77518","{""baseline.orderUnits"":3235,""baseline.placeBuilding"":40,""baseline.queueForProduction"":382,""baseline.setUnitDebugText"":547,""baseline.toggleRepairWrench"":25,""baseline.unqueueFromProduction"":71,""candidate.orderUnits"":2940,""candidate.pauseProduction"":99,""candidate.placeBuilding"":45,""candidate.queueForProduction"":376,""candidate.quitGame"":253,""candidate.resumeProduction"":83,""candidate.setUnitDebugText"":659,""candidate.toggleRepairWrench"":68,""candidate.unqueueFromProduction"":69}","{""baseline.orderUnits"":0.04173224283392244,""baseline.placeBuilding"":0.0005160091849634923,""baseline.queueForProduction"":0.004927887716401352,""baseline.setUnitDebugText"":0.007056425604375758,""baseline.toggleRepairWrench"":0.0003225057406021827,""baseline.unqueueFromProduction"":0.0009159163033101989,""candidate.orderUnits"":0.03792667509481669,""candidate.pauseProduction"":0.0012771227327846436,""candidate.placeBuilding"":0.0005805103330839289,""candidate.queueForProduction"":0.0048504863386568285,""candidate.quitGame"":0.003263758094894089,""candidate.resumeProduction"":0.0010707190587992466,""candidate.setUnitDebugText"":0.008501251322273537,""candidate.toggleRepairWrench"":0.000877215614437937,""candidate.unqueueFromProduction"":0.0008901158440620243}",""
"strata","pinned_supalosa__tour-of-egypt","separated_lanes_v2","8","60030","{""baseline.orderUnits"":2744,""baseline.placeBuilding"":40,""baseline.queueForProduction"":387,""baseline.setUnitDebugText"":415,""baseline.toggleRepairWrench"":30,""baseline.unqueueFromProduction"":77,""candidate.orderUnits"":2837,""candidate.pauseProduction"":68,""candidate.placeBuilding"":45,""candidate.queueForProduction"":389,""candidate.quitGame"":43,""candidate.resumeProduction"":55,""candidate.setUnitDebugText"":656,""candidate.toggleRepairWrench"":63,""candidate.unqueueFromProduction"":62}","{""baseline.orderUnits"":0.04571047809428619,""baseline.placeBuilding"":0.0006663334999167084,""baseline.queueForProduction"":0.006446776611694153,""baseline.setUnitDebugText"":0.006913210061635849,""baseline.toggleRepairWrench"":0.0004997501249375312,""baseline.unqueueFromProduction"":0.0012826919873396635,""candidate.orderUnits"":0.04725970348159254,""candidate.pauseProduction"":0.001132766949858404,""candidate.placeBuilding"":0.0007496251874062968,""candidate.queueForProduction"":0.006480093286689989,""candidate.quitGame"":0.0007163085124104614,""candidate.resumeProduction"":0.000916208562385474,""candidate.setUnitDebugText"":0.010927869398634016,""candidate.toggleRepairWrench"":0.0010494752623688155,""candidate.unqueueFromProduction"":0.001032816924870898}","{""counters"":{""debugCoalesced"":0,""debugDropped"":83,""debugForwarded"":656,""debugProposals"":739,""deferredUnitIds"":4926,""duplicateSuppressions"":54,""expiredPending"":0,""forwardedOrderCalls"":2837,""forwardedUnitIds"":5760,""gameplayNonorderCalls"":725,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":2,""pendingUnitIds"":4926,""productionBatches"":523,""proposedCalls"":2998,""proposedUnitIds"":5879,""revokedPending"":0,""sameUnitConflicts"":63,""supersededPending"":63},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.0013826420123271698,""debugForwarded"":0.010927869398634016,""debugProposals"":0.012310511410961187,""deferredUnitIds"":0.08205897051474263,""duplicateSuppressions"":0.0008995502248875562,""expiredPending"":0,""forwardedOrderCalls"":0.04725970348159254,""forwardedUnitIds"":0.095952023988006,""gameplayNonorderCalls"":0.012077294685990338,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0.000033316674995835414,""pendingUnitIds"":0.08205897051474263,""productionBatches"":0.008712310511410961,""proposedCalls"":0.049941695818757285,""proposedUnitIds"":0.0979343661502582,""revokedPending"":0,""sameUnitConflicts"":0.0010494752623688155,""supersededPending"":0.0010494752623688155},""referenceExceededUpdates"":0,""budgetDenialUpdates"":1554,""budgetDeniedUnitIdOccurrences"":4926,""budgetDeniedDebugCalls"":83,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":11}"
"strata","pinned_supalosa__tour-of-egypt","separated_lanes_unbounded_d1","8","76646","{""baseline.orderUnits"":3227,""baseline.placeBuilding"":40,""baseline.queueForProduction"":382,""baseline.setUnitDebugText"":552,""baseline.toggleRepairWrench"":26,""baseline.unqueueFromProduction"":71,""candidate.orderUnits"":2849,""candidate.pauseProduction"":96,""candidate.placeBuilding"":45,""candidate.queueForProduction"":373,""candidate.quitGame"":253,""candidate.resumeProduction"":80,""candidate.setUnitDebugText"":647,""candidate.toggleRepairWrench"":72,""candidate.unqueueFromProduction"":69}","{""baseline.orderUnits"":0.04210265375883934,""baseline.placeBuilding"":0.0005218798110795084,""baseline.queueForProduction"":0.004983952195809305,""baseline.setUnitDebugText"":0.0072019413928972155,""baseline.toggleRepairWrench"":0.00033922187720168044,""baseline.unqueueFromProduction"":0.0009263366646661274,""candidate.orderUnits"":0.03717088954413798,""candidate.pauseProduction"":0.0012525115465908201,""candidate.placeBuilding"":0.000587114787464447,""candidate.queueForProduction"":0.004866529238316416,""candidate.quitGame"":0.0033008898050778906,""candidate.resumeProduction"":0.0010437596221590168,""candidate.setUnitDebugText"":0.008441405944211049,""candidate.toggleRepairWrench"":0.0009393836599431151,""candidate.unqueueFromProduction"":0.0009002426741121519}","{""counters"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":647,""debugProposals"":647,""deferredUnitIds"":0,""duplicateSuppressions"":2,""expiredPending"":0,""forwardedOrderCalls"":2849,""forwardedUnitIds"":5823,""gameplayNonorderCalls"":988,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":532,""proposedCalls"":2929,""proposedUnitIds"":5825,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":0.008441405944211049,""debugProposals"":0.008441405944211049,""deferredUnitIds"":0,""duplicateSuppressions"":0.000026093990553975418,""expiredPending"":0,""forwardedOrderCalls"":0.03717088954413798,""forwardedUnitIds"":0.07597265349789943,""gameplayNonorderCalls"":0.012890431333663858,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":0.006941001487357461,""proposedCalls"":0.038214649166297,""proposedUnitIds"":0.07599874748845341,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""referenceExceededUpdates"":7056,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":149,""maxPendingUnitIds"":0}"
"strata","ra2web_advanced__hfo-bvb","disabled","8","137878","{""baseline.activateSuperWeapon"":10,""baseline.orderUnits"":1507,""baseline.pauseProduction"":57,""baseline.placeBuilding"":99,""baseline.queueForProduction"":395,""baseline.quitGame"":587,""baseline.resumeProduction"":56,""baseline.sayAll"":2,""baseline.sellObject"":5,""baseline.setUnitDebugText"":1872,""baseline.toggleRepairWrench"":101,""baseline.unqueueFromProduction"":49,""candidate.orderUnits"":8410,""candidate.pauseProduction"":49,""candidate.placeBuilding"":55,""candidate.queueForProduction"":601,""candidate.quitGame"":3,""candidate.resumeProduction"":47,""candidate.setUnitDebugText"":2083,""candidate.toggleRepairWrench"":58,""candidate.unqueueFromProduction"":62}","{""baseline.activateSuperWeapon"":0.00007252788697254094,""baseline.orderUnits"":0.01092995256676192,""baseline.pauseProduction"":0.00041340895574348336,""baseline.placeBuilding"":0.0007180260810281553,""baseline.queueForProduction"":0.0028648515354153673,""baseline.quitGame"":0.004257386965288153,""baseline.resumeProduction"":0.0004061561670462293,""baseline.sayAll"":0.000014505577394508188,""baseline.sellObject"":0.00003626394348627047,""baseline.setUnitDebugText"":0.013577220441259665,""baseline.toggleRepairWrench"":0.0007325316584226635,""baseline.unqueueFromProduction"":0.0003553866461654506,""candidate.orderUnits"":0.06099595294390693,""candidate.pauseProduction"":0.0003553866461654506,""candidate.placeBuilding"":0.0003989033783489752,""candidate.queueForProduction"":0.004358926007049711,""candidate.quitGame"":0.000021758366091762283,""candidate.resumeProduction"":0.0003408810687709424,""candidate.setUnitDebugText"":0.015107558856380278,""candidate.toggleRepairWrench"":0.0004206617444407375,""candidate.unqueueFromProduction"":0.00044967289922975384}",""
"strata","ra2web_advanced__hfo-bvb","separated_lanes_v2","8","177721","{""baseline.activateSuperWeapon"":14,""baseline.orderUnits"":2898,""baseline.pauseProduction"":100,""baseline.placeBuilding"":123,""baseline.queueForProduction"":525,""baseline.resumeProduction"":91,""baseline.sayAll"":7,""baseline.sellObject"":21,""baseline.setUnitDebugText"":2239,""baseline.toggleRepairWrench"":106,""baseline.unqueueFromProduction"":82,""candidate.activateSuperWeapon"":1,""candidate.orderUnits"":9291,""candidate.pauseProduction"":30,""candidate.placeBuilding"":49,""candidate.queueForProduction"":786,""candidate.resumeProduction"":29,""candidate.setUnitDebugText"":1844,""candidate.toggleRepairWrench"":49,""candidate.unqueueFromProduction"":54}","{""baseline.activateSuperWeapon"":0.00007877515881634697,""baseline.orderUnits"":0.01630645787498382,""baseline.pauseProduction"":0.0005626797058310498,""baseline.placeBuilding"":0.0006920960381721912,""baseline.queueForProduction"":0.0029540684556130115,""baseline.resumeProduction"":0.0005120385323062553,""baseline.sayAll"":0.000039387579408173486,""baseline.sellObject"":0.00011816273822452045,""baseline.setUnitDebugText"":0.012598398613557205,""baseline.toggleRepairWrench"":0.0005964404881809127,""baseline.unqueueFromProduction"":0.0004613973587814608,""candidate.activateSuperWeapon"":0.000005626797058310498,""candidate.orderUnits"":0.05227857146876284,""candidate.pauseProduction"":0.00016880391174931494,""candidate.placeBuilding"":0.0002757130558572144,""candidate.queueForProduction"":0.004422662487832052,""candidate.resumeProduction"":0.00016317711469100444,""candidate.setUnitDebugText"":0.010375813775524559,""candidate.toggleRepairWrench"":0.0002757130558572144,""candidate.unqueueFromProduction"":0.0003038470411487669}","{""counters"":{""debugCoalesced"":0,""debugDropped"":769,""debugForwarded"":1844,""debugProposals"":2613,""deferredUnitIds"":27695,""duplicateSuppressions"":100,""expiredPending"":0,""forwardedOrderCalls"":9291,""forwardedUnitIds"":20698,""gameplayNonorderCalls"":998,""invalidTargets"":67,""invalidTiles"":0,""invalidUnitIds"":13,""pendingUnitIds"":27695,""productionBatches"":870,""proposedCalls"":9716,""proposedUnitIds"":21560,""revokedPending"":0,""sameUnitConflicts"":682,""supersededPending"":699},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.0043270069378407725,""debugForwarded"":0.010375813775524559,""debugProposals"":0.01470282071336533,""deferredUnitIds"":0.15583414452990924,""duplicateSuppressions"":0.0005626797058310498,""expiredPending"":0,""forwardedOrderCalls"":0.05227857146876284,""forwardedUnitIds"":0.11646344551291068,""gameplayNonorderCalls"":0.005615543464193877,""invalidTargets"":0.0003769954029068034,""invalidTiles"":0,""invalidUnitIds"":0.00007314836175803648,""pendingUnitIds"":0.15583414452990924,""productionBatches"":0.004895313440730133,""proposedCalls"":0.0546699602185448,""proposedUnitIds"":0.12131374457717434,""revokedPending"":0,""sameUnitConflicts"":0.0038374755937677597,""supersededPending"":0.003933131143759038},""referenceExceededUpdates"":0,""budgetDenialUpdates"":4699,""budgetDeniedUnitIdOccurrences"":27695,""budgetDeniedDebugCalls"":769,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":20}"
"strata","ra2web_advanced__hfo-bvb","separated_lanes_unbounded_d1","8","122682","{""baseline.activateSuperWeapon"":7,""baseline.orderUnits"":1464,""baseline.pauseProduction"":59,""baseline.placeBuilding"":95,""baseline.queueForProduction"":375,""baseline.quitGame"":57,""baseline.resumeProduction"":56,""baseline.sayAll"":2,""baseline.sellObject"":5,""baseline.setUnitDebugText"":1792,""baseline.toggleRepairWrench"":68,""baseline.unqueueFromProduction"":49,""candidate.activateSuperWeapon"":1,""candidate.orderUnits"":6266,""candidate.pauseProduction"":48,""candidate.placeBuilding"":57,""candidate.queueForProduction"":551,""candidate.resumeProduction"":46,""candidate.setUnitDebugText"":1912,""candidate.toggleRepairWrench"":58,""candidate.unqueueFromProduction"":62}","{""baseline.activateSuperWeapon"":0.00005705808513066301,""baseline.orderUnits"":0.011933290947327237,""baseline.pauseProduction"":0.00048091814610130254,""baseline.placeBuilding"":0.0007743597267732838,""baseline.queueForProduction"":0.0030566831319998045,""baseline.quitGame"":0.00046461583606397026,""baseline.resumeProduction"":0.0004564646810453041,""baseline.sayAll"":0.00001630231003733229,""baseline.sellObject"":0.000040755775093330724,""baseline.setUnitDebugText"":0.014606869793449731,""baseline.toggleRepairWrench"":0.0005542785412692979,""baseline.unqueueFromProduction"":0.0003994065959146411,""candidate.activateSuperWeapon"":0.000008151155018666146,""candidate.orderUnits"":0.05107513734696206,""candidate.pauseProduction"":0.00039125544089597497,""candidate.placeBuilding"":0.00046461583606397026,""candidate.queueForProduction"":0.004491286415285046,""candidate.resumeProduction"":0.0003749531308586427,""candidate.setUnitDebugText"":0.01558500839568967,""candidate.toggleRepairWrench"":0.00047276699108263643,""candidate.unqueueFromProduction"":0.000505371611157301}","{""counters"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":1912,""debugProposals"":1912,""deferredUnitIds"":0,""duplicateSuppressions"":66,""expiredPending"":0,""forwardedOrderCalls"":6266,""forwardedUnitIds"":15698,""gameplayNonorderCalls"":823,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":663,""proposedCalls"":6387,""proposedUnitIds"":15764,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":0.01558500839568967,""debugProposals"":0.01558500839568967,""deferredUnitIds"":0,""duplicateSuppressions"":0.0005379762312319656,""expiredPending"":0,""forwardedOrderCalls"":0.05107513734696206,""forwardedUnitIds"":0.12795683148302114,""gameplayNonorderCalls"":0.006708400580362237,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":0.005404215777375654,""proposedCalls"":0.05206142710422067,""proposedUnitIds"":0.12849480771425312,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""referenceExceededUpdates"":11748,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":322,""maxPendingUnitIds"":0}"
"strata","ra2web_advanced__hfo-corners","disabled","8","169332","{""baseline.activateSuperWeapon"":7,""baseline.orderUnits"":2160,""baseline.pauseProduction"":56,""baseline.placeBuilding"":105,""baseline.queueForProduction"":440,""baseline.resumeProduction"":52,""baseline.sayAll"":3,""baseline.sellObject"":22,""baseline.setUnitDebugText"":2479,""baseline.toggleRepairWrench"":30,""baseline.unqueueFromProduction"":60,""candidate.activateSuperWeapon"":3,""candidate.orderUnits"":9645,""candidate.pauseProduction"":200,""candidate.placeBuilding"":83,""candidate.queueForProduction"":704,""candidate.quitGame"":27,""candidate.resumeProduction"":178,""candidate.setUnitDebugText"":2485,""candidate.toggleRepairWrench"":80,""candidate.unqueueFromProduction"":157}","{""baseline.activateSuperWeapon"":0.00004133890818037937,""baseline.orderUnits"":0.012756005952802778,""baseline.pauseProduction"":0.000330711265443035,""baseline.placeBuilding"":0.0006200836227056906,""baseline.queueForProduction"":0.0025984456570524177,""baseline.resumeProduction"":0.0003070890321971039,""baseline.sayAll"":0.000017716674934448304,""baseline.sellObject"":0.0001299222828526209,""baseline.setUnitDebugText"":0.014639879054165781,""baseline.toggleRepairWrench"":0.00017716674934448303,""baseline.unqueueFromProduction"":0.00035433349868896607,""candidate.activateSuperWeapon"":0.000017716674934448304,""candidate.orderUnits"":0.056959109914251294,""candidate.pauseProduction"":0.0011811116622965534,""candidate.placeBuilding"":0.0004901613398530698,""candidate.queueForProduction"":0.0041575130512838685,""candidate.quitGame"":0.00015945007441003472,""candidate.resumeProduction"":0.0010511893794439326,""candidate.setUnitDebugText"":0.014675312404034677,""candidate.toggleRepairWrench"":0.0004724446649186214,""candidate.unqueueFromProduction"":0.0009271726549027945}",""
"strata","ra2web_advanced__hfo-corners","separated_lanes_v2","8","174929","{""baseline.activateSuperWeapon"":12,""baseline.orderUnits"":4601,""baseline.pauseProduction"":65,""baseline.placeBuilding"":116,""baseline.queueForProduction"":473,""baseline.resumeProduction"":59,""baseline.sayAll"":4,""baseline.sellObject"":29,""baseline.setUnitDebugText"":2339,""baseline.toggleRepairWrench"":36,""baseline.unqueueFromProduction"":64,""candidate.activateSuperWeapon"":2,""candidate.orderUnits"":9113,""candidate.pauseProduction"":135,""candidate.placeBuilding"":79,""candidate.queueForProduction"":628,""candidate.quitGame"":31,""candidate.resumeProduction"":115,""candidate.setUnitDebugText"":877,""candidate.toggleRepairWrench"":65,""candidate.unqueueFromProduction"":134}","{""baseline.activateSuperWeapon"":0.00006859926027131008,""baseline.orderUnits"":0.026302099709024803,""baseline.pauseProduction"":0.00037157932646959623,""baseline.placeBuilding"":0.0006631261826226641,""baseline.queueForProduction"":0.0027039541756941387,""baseline.resumeProduction"":0.0003372796963339412,""baseline.sayAll"":0.00002286642009043669,""baseline.sellObject"":0.00016578154565566601,""baseline.setUnitDebugText"":0.013371139147882856,""baseline.toggleRepairWrench"":0.00020579778081393022,""baseline.unqueueFromProduction"":0.00036586272144698706,""candidate.activateSuperWeapon"":0.000011433210045218346,""candidate.orderUnits"":0.052095421571037394,""candidate.pauseProduction"":0.0007717416780522383,""candidate.placeBuilding"":0.00045161179678612464,""candidate.queueForProduction"":0.0035900279541985604,""candidate.quitGame"":0.00017721475570088436,""candidate.resumeProduction"":0.0006574095776000549,""candidate.setUnitDebugText"":0.0050134626048282446,""candidate.toggleRepairWrench"":0.00037157932646959623,""candidate.unqueueFromProduction"":0.0007660250730296291}","{""counters"":{""debugCoalesced"":0,""debugDropped"":1661,""debugForwarded"":877,""debugProposals"":2538,""deferredUnitIds"":72549,""duplicateSuppressions"":324,""expiredPending"":0,""forwardedOrderCalls"":9113,""forwardedUnitIds"":17329,""gameplayNonorderCalls"":1189,""invalidTargets"":179,""invalidTiles"":0,""invalidUnitIds"":24,""pendingUnitIds"":72549,""productionBatches"":940,""proposedCalls"":10506,""proposedUnitIds"":19689,""revokedPending"":0,""sameUnitConflicts"":1831,""supersededPending"":1850},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.009495280942553835,""debugForwarded"":0.0050134626048282446,""debugProposals"":0.01450874354738208,""deferredUnitIds"":0.4147339777852729,""duplicateSuppressions"":0.001852180027325372,""expiredPending"":0,""forwardedOrderCalls"":0.052095421571037394,""forwardedUnitIds"":0.09906304843679435,""gameplayNonorderCalls"":0.006797043371882306,""invalidTargets"":0.0010232722990470419,""invalidTiles"":0,""invalidUnitIds"":0.00013719852054262015,""pendingUnitIds"":0.4147339777852729,""productionBatches"":0.005373608721252622,""proposedCalls"":0.06005865236753197,""proposedUnitIds"":0.112554236290152,""revokedPending"":0,""sameUnitConflicts"":0.010467103796397396,""supersededPending"":0.01057571929182697},""referenceExceededUpdates"":0,""budgetDenialUpdates"":14727,""budgetDeniedUnitIdOccurrences"":72549,""budgetDeniedDebugCalls"":1661,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":35}"
"strata","ra2web_advanced__hfo-corners","separated_lanes_unbounded_d1","8","150518","{""baseline.activateSuperWeapon"":5,""baseline.orderUnits"":1677,""baseline.pauseProduction"":50,""baseline.placeBuilding"":101,""baseline.queueForProduction"":423,""baseline.resumeProduction"":45,""baseline.sayAll"":2,""baseline.sellObject"":19,""baseline.setUnitDebugText"":2392,""baseline.toggleRepairWrench"":35,""baseline.unqueueFromProduction"":56,""candidate.activateSuperWeapon"":1,""candidate.orderUnits"":8107,""candidate.pauseProduction"":199,""candidate.placeBuilding"":82,""candidate.queueForProduction"":705,""candidate.quitGame"":27,""candidate.resumeProduction"":183,""candidate.setUnitDebugText"":2615,""candidate.toggleRepairWrench"":66,""candidate.unqueueFromProduction"":154}","{""baseline.activateSuperWeapon"":0.0000332186183712247,""baseline.orderUnits"":0.011141524601708766,""baseline.pauseProduction"":0.000332186183712247,""baseline.placeBuilding"":0.000671016091098739,""baseline.queueForProduction"":0.00281029511420561,""baseline.resumeProduction"":0.00029896756534102234,""baseline.sayAll"":0.000013287447348489881,""baseline.sellObject"":0.00012623074981065388,""baseline.setUnitDebugText"":0.0158917870287939,""baseline.toggleRepairWrench"":0.00023253032859857294,""baseline.unqueueFromProduction"":0.0003720485257577167,""candidate.activateSuperWeapon"":0.0000066437236742449405,""candidate.orderUnits"":0.053860667827103734,""candidate.pauseProduction"":0.0013221010111747432,""candidate.placeBuilding"":0.0005447853412880851,""candidate.queueForProduction"":0.004683825190342683,""candidate.quitGame"":0.0001793805392046134,""candidate.resumeProduction"":0.0012158014323868241,""candidate.setUnitDebugText"":0.01737333740815052,""candidate.toggleRepairWrench"":0.0004384857625001661,""candidate.unqueueFromProduction"":0.001023133445833721}","{""counters"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":2615,""debugProposals"":2615,""deferredUnitIds"":0,""duplicateSuppressions"":61,""expiredPending"":0,""forwardedOrderCalls"":8107,""forwardedUnitIds"":18241,""gameplayNonorderCalls"":1417,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":1109,""proposedCalls"":8288,""proposedUnitIds"":18302,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":0.01737333740815052,""debugProposals"":0.01737333740815052,""deferredUnitIds"":0,""duplicateSuppressions"":0.0004052671441289414,""expiredPending"":0,""forwardedOrderCalls"":0.053860667827103734,""forwardedUnitIds"":0.12118816354190197,""gameplayNonorderCalls"":0.009414156446405081,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":0.007367889554737639,""proposedCalls"":0.05506318181214207,""proposedUnitIds"":0.1215934306860309,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""referenceExceededUpdates"":28691,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":362,""maxPendingUnitIds"":0}"
"strata","ra2web_advanced__hfo-corners-b","disabled","8","170762","{""baseline.activateSuperWeapon"":11,""baseline.orderUnits"":5522,""baseline.pauseProduction"":75,""baseline.placeBuilding"":118,""baseline.queueForProduction"":467,""baseline.resumeProduction"":67,""baseline.sayAll"":3,""baseline.sellObject"":19,""baseline.setUnitDebugText"":2163,""baseline.toggleRepairWrench"":58,""baseline.unqueueFromProduction"":71,""candidate.activateSuperWeapon"":7,""candidate.orderUnits"":8611,""candidate.pauseProduction"":173,""candidate.placeBuilding"":77,""candidate.queueForProduction"":633,""candidate.resumeProduction"":157,""candidate.setUnitDebugText"":2653,""candidate.toggleRepairWrench"":49,""candidate.unqueueFromProduction"":117}","{""baseline.activateSuperWeapon"":0.00006441714198709315,""baseline.orderUnits"":0.03233740527752076,""baseline.pauseProduction"":0.0004392077862756351,""baseline.placeBuilding"":0.0006910202504069993,""baseline.queueForProduction"":0.0027348004825429547,""baseline.resumeProduction"":0.00039235895573956734,""baseline.sayAll"":0.000017568311451025403,""baseline.sellObject"":0.00011126597252316089,""baseline.setUnitDebugText"":0.012666752556189317,""baseline.toggleRepairWrench"":0.00033965402138649115,""baseline.unqueueFromProduction"":0.00041578337100760124,""candidate.activateSuperWeapon"":0.000040992726719059275,""candidate.orderUnits"":0.050426909968259916,""candidate.pauseProduction"":0.0010131059603424649,""candidate.placeBuilding"":0.00045091999390965205,""candidate.queueForProduction"":0.00370691371616636,""candidate.resumeProduction"":0.0009194082992703295,""candidate.setUnitDebugText"":0.015536243426523466,""candidate.toggleRepairWrench"":0.0002869490870334149,""candidate.unqueueFromProduction"":0.0006851641465899907}",""
"strata","ra2web_advanced__hfo-corners-b","separated_lanes_v2","8","159284","{""baseline.activateSuperWeapon"":5,""baseline.orderUnits"":3096,""baseline.pauseProduction"":65,""baseline.placeBuilding"":117,""baseline.queueForProduction"":457,""baseline.resumeProduction"":57,""baseline.sayAll"":4,""baseline.sellObject"":25,""baseline.setUnitDebugText"":1740,""baseline.toggleRepairWrench"":59,""baseline.unqueueFromProduction"":53,""candidate.activateSuperWeapon"":6,""candidate.orderUnits"":11087,""candidate.pauseProduction"":203,""candidate.placeBuilding"":82,""candidate.queueForProduction"":668,""candidate.resumeProduction"":185,""candidate.setUnitDebugText"":959,""candidate.toggleRepairWrench"":36,""candidate.unqueueFromProduction"":115}","{""baseline.activateSuperWeapon"":0.00003139047236382813,""baseline.orderUnits"":0.01943698048768238,""baseline.pauseProduction"":0.0004080761407297657,""baseline.placeBuilding"":0.0007345370533135782,""baseline.queueForProduction"":0.002869089174053891,""baseline.resumeProduction"":0.00035785138494764067,""baseline.sayAll"":0.000025112377891062503,""baseline.sellObject"":0.00015695236181914065,""baseline.setUnitDebugText"":0.01092388438261219,""baseline.toggleRepairWrench"":0.0003704075738931719,""baseline.unqueueFromProduction"":0.00033273900705657817,""candidate.activateSuperWeapon"":0.000037668566836593755,""candidate.orderUnits"":0.06960523341955249,""candidate.pauseProduction"":0.0012744531779714221,""candidate.placeBuilding"":0.0005148037467667813,""candidate.queueForProduction"":0.0041937671078074385,""candidate.resumeProduction"":0.0011614474774616409,""candidate.setUnitDebugText"":0.006020692599382236,""candidate.toggleRepairWrench"":0.00022601140101956253,""candidate.unqueueFromProduction"":0.000721980864368047}","{""counters"":{""debugCoalesced"":0,""debugDropped"":1294,""debugForwarded"":959,""debugProposals"":2253,""deferredUnitIds"":84908,""duplicateSuppressions"":362,""expiredPending"":12,""forwardedOrderCalls"":11087,""forwardedUnitIds"":19950,""gameplayNonorderCalls"":1295,""invalidTargets"":178,""invalidTiles"":0,""invalidUnitIds"":29,""pendingUnitIds"":84908,""productionBatches"":1042,""proposedCalls"":13171,""proposedUnitIds"":22477,""revokedPending"":0,""sameUnitConflicts"":1946,""supersededPending"":1964},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.00812385424775872,""debugForwarded"":0.006020692599382236,""debugProposals"":0.014144546847140956,""deferredUnitIds"":0.5330604454935838,""duplicateSuppressions"":0.0022726701991411568,""expiredPending"":0.00007533713367318751,""forwardedOrderCalls"":0.06960523341955249,""forwardedUnitIds"":0.12524798473167426,""gameplayNonorderCalls"":0.008130132342231486,""invalidTargets"":0.0011175008161522814,""invalidTiles"":0,""invalidUnitIds"":0.00018206473971020315,""pendingUnitIds"":0.5330604454935838,""productionBatches"":0.006541774440621782,""proposedCalls"":0.08268878230079606,""proposedUnitIds"":0.141112729464353,""revokedPending"":0,""sameUnitConflicts"":0.012217171844001909,""supersededPending"":0.01233017754451169},""referenceExceededUpdates"":0,""budgetDenialUpdates"":16540,""budgetDeniedUnitIdOccurrences"":84908,""budgetDeniedDebugCalls"":1294,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":30}"
