"jobLabel","rawJobId","state","exitCode","account","partition","allocatedCpus","restarts","elapsedSeconds","totalCpu","maxRss","requestedMemory","timeLimitMinutes","requestedTres","allocatedTres"
"27365752_6","27365762","COMPLETED","0:0","pi_jss233","day","1","0","1009","16:13.728","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_6.batch","27365762.batch","COMPLETED","0:0","pi_jss233","","1","","1009","16:13.728","904892K","","","","cpu=1,mem=8G,node=1"
"27365752_6.extern","27365762.extern","COMPLETED","0:0","pi_jss233","","1","","1009","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_7","27365763","COMPLETED","0:0","pi_jss233","day","1","0","939","15:02.019","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_7.batch","27365763.batch","COMPLETED","0:0","pi_jss233","","1","","939","15:02.019","914072K","","","","cpu=1,mem=8G,node=1"
"27365752_7.extern","27365763.extern","COMPLETED","0:0","pi_jss233","","1","","939","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_8","27365764","COMPLETED","0:0","pi_jss233","day","1","0","1766","28:49.235","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_8.batch","27365764.batch","COMPLETED","0:0","pi_jss233","","1","","1766","28:49.235","697288K","","","","cpu=1,mem=8G,node=1"
"27365752_8.extern","27365764.extern","COMPLETED","0:0","pi_jss233","","1","","1766","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_9","27365765","COMPLETED","0:0","pi_jss233","day","1","0","1956","31:55.143","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_9.batch","27365765.batch","COMPLETED","0:0","pi_jss233","","1","","1956","31:55.143","700600K","","","","cpu=1,mem=8G,node=1"
"27365752_9.extern","27365765.extern","COMPLETED","0:0","pi_jss233","","1","","1956","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_10","27365766","COMPLETED","0:0","pi_jss233","day","1","0","706","11:14.010","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_10.batch","27365766.batch","COMPLETED","0:0","pi_jss233","","1","","706","11:14.010","719408K","","","","cpu=1,mem=8G,node=1"
"27365752_10.extern","27365766.extern","COMPLETED","0:0","pi_jss233","","1","","706","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_11","27365767","COMPLETED","0:0","pi_jss233","day","1","0","695","11:02.613","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_11.batch","27365767.batch","COMPLETED","0:0","pi_jss233","","1","","695","11:02.613","726648K","","","","cpu=1,mem=8G,node=1"
"27365752_11.extern","27365767.extern","COMPLETED","0:0","pi_jss233","","1","","695","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_12","27365768","COMPLETED","0:0","pi_jss233","day","1","0","2264","37:03.615","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_12.batch","27365768.batch","COMPLETED","0:0","pi_jss233","","1","","2264","37:03.615","745820K","","","","cpu=1,mem=8G,node=1"
"27365752_12.extern","27365768.extern","COMPLETED","0:0","pi_jss233","","1","","2264","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_13","27365769","COMPLETED","0:0","pi_jss233","day","1","0","3030","49:47.023","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_13.batch","27365769.batch","COMPLETED","0:0","pi_jss233","","1","","3030","49:47.023","748372K","","","","cpu=1,mem=8G,node=1"
"27365752_13.extern","27365769.extern","COMPLETED","0:0","pi_jss233","","1","","3030","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_14","27365770","COMPLETED","0:0","pi_jss233","day","1","0","1236","20:01.139","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_14.batch","27365770.batch","COMPLETED","0:0","pi_jss233","","1","","1236","20:01.139","722952K","","","","cpu=1,mem=8G,node=1"
"27365752_14.extern","27365770.extern","COMPLETED","0:0","pi_jss233","","1","","1236","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_15","27365771","COMPLETED","0:0","pi_jss233","day","1","0","1972","32:14.495","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
