"contrast","endpoint","group","id","transition","count"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-golden","L->L","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","W->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","W->D","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","D->W","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","D->D","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","L->L","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","W->W","3"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","W->D","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","D->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","D->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","D->L","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","L->L","3"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","W->W","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","W->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","D->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","D->D","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","L->L","3"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","W->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","W->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","D->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","D->D","5"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","L->L","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","W->W","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","W->D","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","D->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","D->D","4"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","L->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","W->W","4"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","W->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","D->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","D->D","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","L->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","L->D","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","L->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","W->W","3"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","W->D","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","W->L","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","D->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","D->D","3"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","L->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","W->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","W->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","D->W","0"
