"contrast","endpoint","group","id","cases","reference","treatment","referenceW","referenceD","referenceL","treatmentW","treatmentD","treatmentL","referenceScore","treatmentScore","referenceWinRate","treatmentWinRate","referenceWilsonLower90","treatmentWilsonLower90","pairedScore","pairedLiteralWin","referenceStatuses","treatmentStatuses","referenceTimes","treatmentTimes"
"unbounded_minus_v2","v6","populations","overall","200","separated_lanes_v2","separated_lanes_unbounded_d1","49","92","59","68","76","56","0.475","0.53","0.245","0.34","0.20820625395670245","0.29853132281898964","0.055","0.095","{""baseline_win"":59,""candidate_win"":49,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":91}","{""baseline_win"":56,""candidate_win"":68,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":75}","{""all"":{""n"":200,""min"":5872,""median"":20756,""p90"":24000,""max"":24000,""mean"":18826.875},""W"":{""n"":49,""min"":6718,""median"":15004,""p90"":20426,""max"":22249,""mean"":14744.081632653062},""D"":{""n"":92,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23932.956521739132},""L"":{""n"":59,""min"":5872,""median"":13881,""p90"":22643,""max"":23512,""mean"":14255.64406779661}}","{""all"":{""n"":200,""min"":5662,""median"":20021,""p90"":24000,""max"":24000,""mean"":17398.805},""W"":{""n"":68,""min"":6527,""median"":11374,""p90"":20249,""max"":22157,""mean"":12693.558823529413},""D"":{""n"":76,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23918.842105263157},""L"":{""n"":56,""min"":5662,""median"":13247,""p90"":22529,""max"":23870,""mean"":14263.69642857143}}"
"unbounded_minus_v2","v6","populations","supalosa","120","separated_lanes_v2","separated_lanes_unbounded_d1","34","50","36","41","44","35","0.49166666666666664","0.525","0.2833333333333333","0.3416666666666667","0.233816863802125","0.2886545731300702","0.03333333333333333","0.058333333333333334","{""baseline_win"":36,""candidate_win"":34,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":49}","{""baseline_win"":35,""candidate_win"":41,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":43}","{""all"":{""n"":120,""min"":5872,""median"":19637,""p90"":24000,""max"":24000,""mean"":17348.033333333333},""W"":{""n"":34,""min"":6718,""median"":14128,""p90"":20426,""max"":22249,""mean"":14521.85294117647},""D"":{""n"":50,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23876.64},""L"":{""n"":36,""min"":5872,""median"":9032,""p90"":18235,""max"":20537,""mean"":10949.694444444445}}","{""all"":{""n"":120,""min"":5662,""median"":17560,""p90"":24000,""max"":24000,""mean"":16213.15},""W"":{""n"":41,""min"":6718,""median"":10773,""p90"":20153,""max"":22157,""mean"":12287.292682926829},""D"":{""n"":44,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23859.81818181818},""L"":{""n"":35,""min"":5662,""median"":8918,""p90"":21483,""max"":23474,""mean"":11199.057142857142}}"
"unbounded_minus_v2","v6","populations","advanced","80","separated_lanes_v2","separated_lanes_unbounded_d1","15","42","23","27","32","21","0.45","0.5375","0.1875","0.3375","0.13807137109455367","0.2736224621247424","0.0875","0.15","{""baseline_win"":23,""candidate_win"":15,""tick_cap_draw"":42}","{""baseline_win"":21,""candidate_win"":27,""tick_cap_draw"":32}","{""all"":{""n"":80,""min"":7474,""median"":24000,""p90"":24000,""max"":24000,""mean"":21045.1375},""W"":{""n"":15,""min"":7474,""median"":15843,""p90"":20217,""max"":20660,""mean"":15247.8},""D"":{""n"":42,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":23,""min"":11566,""median"":19730,""p90"":23350,""max"":23512,""mean"":19430.17391304348}}","{""all"":{""n"":80,""min"":6527,""median"":21497,""p90"":24000,""max"":24000,""mean"":19177.2875},""W"":{""n"":27,""min"":6527,""median"":12214,""p90"":20277,""max"":20707,""mean"":13310.481481481482},""D"":{""n"":32,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":21,""min"":12085,""median"":20400,""p90"":23524,""max"":23870,""mean"":19371.428571428572}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-bvb","8","separated_lanes_v2","separated_lanes_unbounded_d1","3","0","5","3","2","3","0.375","0.5","0.375","0.375","0.19535795103474965","0.19535795103474965","0.125","0","{""baseline_win"":5,""candidate_win"":3}","{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":11556,""median"":15460,""p90"":20537,""max"":20537,""mean"":15073.875},""W"":{""n"":3,""min"":11556,""median"":14128,""p90"":16510,""max"":16510,""mean"":14064.666666666666},""D"":null,""L"":{""n"":5,""min"":11726,""median"":15460,""p90"":20537,""max"":20537,""mean"":15679.4}}","{""all"":{""n"":8,""min"":9816,""median"":14392,""p90"":24000,""max"":24000,""mean"":15458.625},""W"":{""n"":3,""min"":9816,""median"":10773,""p90"":14392,""max"":14392,""mean"":11660.333333333334},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":10175,""median"":11682,""p90"":18831,""max"":18831,""mean"":13562.666666666666}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-corners","8","separated_lanes_v2","separated_lanes_unbounded_d1","2","5","1","3","2","3","0.5625","0.5","0.25","0.375","0.10887074683495994","0.19535795103474965","-0.0625","0.125","{""baseline_win"":1,""candidate_win"":2,""tick_cap_draw"":5}","{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":7663,""median"":24000,""p90"":24000,""max"":24000,""mean"":20172.125},""W"":{""n"":2,""min"":13580,""median"":20134,""p90"":20134,""max"":20134,""mean"":16857},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":7663,""median"":7663,""p90"":7663,""max"":7663,""mean"":7663}}","{""all"":{""n"":8,""min"":7006,""median"":20249,""p90"":24000,""max"":24000,""mean"":15512.625},""W"":{""n"":3,""min"":11488,""median"":20249,""p90"":21114,""max"":21114,""mean"":17617},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":7006,""median"":7918,""p90"":8326,""max"":8326,""mean"":7750}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-corners-b","8","separated_lanes_v2","separated_lanes_unbounded_d1","1","5","2","3","2","3","0.4375","0.5","0.125","0.375","0.038176543007959585","0.19535795103474965","0.0625","0.25","{""baseline_win"":2,""candidate_win"":1,""tick_cap_draw"":5}","{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":6538,""median"":24000,""p90"":24000,""max"":24000,""mean"":18441.5},""W"":{""n"":1,""min"":13376,""median"":13376,""p90"":13376,""max"":13376,""mean"":13376},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":6538,""median"":7618,""p90"":7618,""max"":7618,""mean"":7078}}","{""all"":{""n"":8,""min"":6562,""median"":17644,""p90"":24000,""max"":24000,""mean"":15358.25},""W"":{""n"":3,""min"":8194,""median"":11374,""p90"":17644,""max"":17644,""mean"":12404},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":6562,""median"":7618,""p90"":23474,""max"":23474,""mean"":12551.333333333334}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-corners-b-golden","8","separated_lanes_v2","separated_lanes_unbounded_d1","2","1","5","4","2","2","0.3125","0.625","0.25","0.5","0.10887074683495994","0.2936454286357453","0.3125","0.25","{""baseline_win"":5,""candidate_win"":2,""tick_cap_draw"":1}","{""baseline_win"":2,""candidate_win"":4,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":6730,""median"":16938,""p90"":24000,""max"":24000,""mean"":14425.625},""W"":{""n"":2,""min"":11146,""median"":20015,""p90"":20015,""max"":20015,""mean"":15580.5},""D"":{""n"":1,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":5,""min"":6730,""median"":8606,""p90"":20286,""max"":20286,""mean"":12048.8}}","{""all"":{""n"":8,""min"":6454,""median"":8222,""p90"":24000,""max"":24000,""mean"":12083.375},""W"":{""n"":4,""min"":7264,""median"":8222,""p90"":10485,""max"":10485,""mean"":8512},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":6454,""median"":8165,""p90"":8165,""max"":8165,""mean"":7309.5}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-golden","8","separated_lanes_v2","separated_lanes_unbounded_d1","3","2","3","3","2","3","0.5","0.5","0.375","0.375","0.19535795103474965","0.19535795103474965","0","0","{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2}","{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":7330,""median"":12490,""p90"":24000,""max"":24000,""mean"":13896.25},""W"":{""n"":3,""min"":9575,""median"":12490,""p90"":13577,""max"":13577,""mean"":11880.666666666666},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":7330,""median"":8310,""p90"":11888,""max"":11888,""mean"":9176}}","{""all"":{""n"":8,""min"":7330,""median"":12847,""p90"":24000,""max"":24000,""mean"":14576.25},""W"":{""n"":3,""min"":9544,""median"":11844,""p90"":12847,""max"":12847,""mean"":11411.666666666666},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":7330,""median"":9420,""p90"":17625,""max"":17625,""mean"":11458.333333333334}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-le","8","separated_lanes_v2","separated_lanes_unbounded_d1","2","4","2","3","3","2","0.5","0.5625","0.25","0.375","0.10887074683495994","0.19535795103474965","0.0625","0.125","{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4}","{""baseline_win"":2,""candidate_win"":3,""tick_cap_draw"":3}","{""all"":{""n"":8,""min"":8092,""median"":24000,""p90"":24000,""max"":24000,""mean"":17734.375},""W"":{""n"":2,""min"":14459,""median"":15160,""p90"":15160,""max"":15160,""mean"":14809.5},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":8092,""median"":8164,""p90"":8164,""max"":8164,""mean"":8128}}","{""all"":{""n"":8,""min"":7420,""median"":13165,""p90"":24000,""max"":24000,""mean"":15068},""W"":{""n"":3,""min"":9586,""median"":10903,""p90"":13165,""max"":13165,""mean"":11218},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":7420,""median"":7470,""p90"":7470,""max"":7470,""mean"":7445}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-lvl","8","separated_lanes_v2","separated_lanes_unbounded_d1","4","1","3","3","1","4","0.5625","0.4375","0.5","0.375","0.2936454286357453","0.19535795103474965","-0.125","-0.125","{""baseline_win"":3,""candidate_win"":4,""tick_cap_draw"":1}","{""baseline_win"":4,""candidate_win"":3,""tick_cap_draw"":1}","{""all"":{""n"":8,""min"":8044,""median"":20088,""p90"":24000,""max"":24000,""mean"":17000},""W"":{""n"":4,""min"":19637,""median"":20107,""p90"":20426,""max"":20426,""mean"":20064.5},""D"":{""n"":1,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":8044,""median"":8918,""p90"":14780,""max"":14780,""mean"":10580.666666666666}}","{""all"":{""n"":8,""min"":8104,""median"":20153,""p90"":24000,""max"":24000,""mean"":17384},""W"":{""n"":3,""min"":14396,""median"":20029,""p90"":20153,""max"":20153,""mean"":18192.666666666668},""D"":{""n"":1,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":4,""min"":8104,""median"":21483,""p90"":21989,""max"":21989,""mean"":15123.5}}"
