"id","opponent","map","n","unbounded_minus_v2","unbounded_minus_disabled","v2_minus_disabled","policies"
"pinned_supalosa__hfo-tvt","pinned_supalosa","hfo-tvt","8","0","-0.0625","-0.0625","{""disabled"":{""n"":8,""W"":4,""D"":4,""L"":0,""score"":0.75,""literalWinRate"":0.5,""pooledWilsonWinLower90"":0.2936454286357453,""statuses"":{""candidate_win"":4,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":7870,""median"":24000,""p90"":24000,""max"":24000,""mean"":18302.375},""W"":{""n"":4,""min"":7870,""median"":12002,""p90"":21315,""max"":21315,""mean"":12604.75},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}},""separated_lanes_v2"":{""n"":8,""W"":3,""D"":5,""L"":0,""score"":0.6875,""literalWinRate"":0.375,""pooledWilsonWinLower90"":0.19535795103474965,""statuses"":{""candidate_win"":3,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":6718,""median"":24000,""p90"":24000,""max"":24000,""mean"":20999.875},""W"":{""n"":3,""min"":6718,""median"":20525,""p90"":20756,""max"":20756,""mean"":15999.666666666666},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":3,""D"":5,""L"":0,""score"":0.6875,""literalWinRate"":0.375,""pooledWilsonWinLower90"":0.19535795103474965,""statuses"":{""candidate_win"":3,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":6718,""median"":24000,""p90"":24000,""max"":24000,""mean"":18566},""W"":{""n"":3,""min"":6718,""median"":9808,""p90"":12002,""max"":12002,""mean"":9509.333333333334},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}}}"
"pinned_supalosa__tour-of-egypt","pinned_supalosa","tour-of-egypt","8","-0.0625","0","0.0625","{""disabled"":{""n"":8,""W"":1,""D"":1,""L"":6,""score"":0.1875,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":6,""candidate_win"":1,""tick_cap_draw"":1},""ticks"":{""all"":{""n"":8,""min"":5662,""median"":7960,""p90"":24000,""max"":24000,""mean"":9689.75},""W"":{""n"":1,""min"":9637,""median"":9637,""p90"":9637,""max"":9637,""mean"":9637},""D"":{""n"":1,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":6,""min"":5662,""median"":7197,""p90"":9922,""max"":9922,""mean"":7313.5}}},""separated_lanes_v2"":{""n"":8,""W"":2,""D"":0,""L"":6,""score"":0.25,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":6,""candidate_win"":2},""ticks"":{""all"":{""n"":8,""min"":5872,""median"":7652,""p90"":9032,""max"":9032,""mean"":7503.75},""W"":{""n"":2,""min"":7652,""median"":8351,""p90"":8351,""max"":8351,""mean"":8001.5},""D"":null,""L"":{""n"":6,""min"":5872,""median"":7619,""p90"":9032,""max"":9032,""mean"":7337.833333333333}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":1,""D"":1,""L"":6,""score"":0.1875,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":6,""candidate_win"":1,""tick_cap_draw"":1},""ticks"":{""all"":{""n"":8,""min"":5662,""median"":7226,""p90"":24000,""max"":24000,""mean"":9580.75},""W"":{""n"":1,""min"":9637,""median"":9637,""p90"":9637,""max"":9637,""mean"":9637},""D"":{""n"":1,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":6,""min"":5662,""median"":7197,""p90"":9922,""max"":9922,""mean"":7168.166666666667}}}}"
"pinned_supalosa__south-pacific","pinned_supalosa","south-pacific","8","0","0","0","{""disabled"":{""n"":8,""W"":0,""D"":6,""L"":2,""score"":0.375,""literalWinRate"":0,""pooledWilsonWinLower90"":0,""statuses"":{""baseline_win"":2,""engine_nonliteral_termination_draw"":2,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":9438,""median"":24000,""p90"":24000,""max"":24000,""mean"":19737.125},""W"":null,""D"":{""n"":6,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":22936.5},""L"":{""n"":2,""min"":9438,""median"":10840,""p90"":10840,""max"":10840,""mean"":10139}}},""separated_lanes_v2"":{""n"":8,""W"":0,""D"":6,""L"":2,""score"":0.375,""literalWinRate"":0,""pooledWilsonWinLower90"":0,""statuses"":{""baseline_win"":2,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":9438,""median"":24000,""p90"":24000,""max"":24000,""mean"":19763.75},""W"":null,""D"":{""n"":6,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":22972},""L"":{""n"":2,""min"":9438,""median"":10840,""p90"":10840,""max"":10840,""mean"":10139}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":0,""D"":6,""L"":2,""score"":0.375,""literalWinRate"":0,""pooledWilsonWinLower90"":0,""statuses"":{""baseline_win"":2,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":9438,""median"":24000,""p90"":24000,""max"":24000,""mean"":19763.75},""W"":null,""D"":{""n"":6,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":22972},""L"":{""n"":2,""min"":9438,""median"":10840,""p90"":10840,""max"":10840,""mean"":10139}}}}"
"pinned_supalosa__south-pacific-2","pinned_supalosa","south-pacific-2","8","0","0","0","{""disabled"":{""n"":8,""W"":1,""D"":5,""L"":2,""score"":0.4375,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":2,""candidate_win"":1,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":13501,""median"":24000,""p90"":24000,""max"":24000,""mean"":21222.375},""W"":{""n"":1,""min"":21001,""median"":21001,""p90"":21001,""max"":21001,""mean"":21001},""D"":{""n"":5,""min"":21642,""median"":24000,""p90"":24000,""max"":24000,""mean"":23528.4},""L"":{""n"":2,""min"":13501,""median"":17635,""p90"":17635,""max"":17635,""mean"":15568}}},""separated_lanes_v2"":{""n"":8,""W"":0,""D"":7,""L"":1,""score"":0.4375,""literalWinRate"":0,""pooledWilsonWinLower90"":0,""statuses"":{""baseline_win"":1,""tick_cap_draw"":7},""ticks"":{""all"":{""n"":8,""min"":18235,""median"":24000,""p90"":24000,""max"":24000,""mean"":23279.375},""W"":null,""D"":{""n"":7,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":18235,""median"":18235,""p90"":18235,""max"":18235,""mean"":18235}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":1,""D"":5,""L"":2,""score"":0.4375,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":2,""candidate_win"":1,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":13501,""median"":24000,""p90"":24000,""max"":24000,""mean"":21661.625},""W"":{""n"":1,""min"":22157,""median"":22157,""p90"":22157,""max"":22157,""mean"":22157},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":13501,""median"":17635,""p90"":17635,""max"":17635,""mean"":15568}}}}"
"pinned_supalosa__pacific-heights","pinned_supalosa","pacific-heights","8","0.25","0","-0.25","{""disabled"":{""n"":8,""W"":6,""D"":2,""L"":0,""score"":0.875,""literalWinRate"":0.75,""pooledWilsonWinLower90"":0.5237063285891094,""statuses"":{""candidate_win"":6,""tick_cap_draw"":2},""ticks"":{""all"":{""n"":8,""min"":9274,""median"":10792,""p90"":24000,""max"":24000,""mean"":13775.5},""W"":{""n"":6,""min"":9274,""median"":9797,""p90"":13450,""max"":13450,""mean"":10367.333333333334},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}},""separated_lanes_v2"":{""n"":8,""W"":4,""D"":2,""L"":2,""score"":0.625,""literalWinRate"":0.5,""pooledWilsonWinLower90"":0.2936454286357453,""statuses"":{""baseline_win"":2,""candidate_win"":4,""tick_cap_draw"":2},""ticks"":{""all"":{""n"":8,""min"":9045,""median"":16698,""p90"":24000,""max"":24000,""mean"":15652.875},""W"":{""n"":4,""min"":9507,""median"":16698,""p90"":18411,""max"":18411,""mean"":13772},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":9045,""median"":13090,""p90"":13090,""max"":13090,""mean"":11067.5}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":6,""D"":2,""L"":0,""score"":0.875,""literalWinRate"":0.75,""pooledWilsonWinLower90"":0.5237063285891094,""statuses"":{""candidate_win"":6,""tick_cap_draw"":2},""ticks"":{""all"":{""n"":8,""min"":9449,""median"":10163,""p90"":24000,""max"":24000,""mean"":14338.125},""W"":{""n"":6,""min"":9449,""median"":9880,""p90"":17560,""max"":17560,""mean"":11117.5},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}}}"
"ra2web_advanced__hfo-le","ra2web_advanced","hfo-le","8","-0.125","-0.0625","0.0625","{""disabled"":{""n"":8,""W"":2,""D"":3,""L"":3,""score"":0.4375,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":3,""candidate_win"":2,""tick_cap_draw"":3},""ticks"":{""all"":{""n"":8,""min"":18293,""median"":21453,""p90"":24000,""max"":24000,""mean"":21553},""W"":{""n"":2,""min"":18795,""median"":20464,""p90"":20464,""max"":20464,""mean"":19629.5},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":18293,""median"":21419,""p90"":21453,""max"":21453,""mean"":20388.333333333332}}},""separated_lanes_v2"":{""n"":8,""W"":2,""D"":4,""L"":2,""score"":0.5,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":19009,""median"":24000,""p90"":24000,""max"":24000,""mean"":22522.25},""W"":{""n"":2,""min"":19009,""median"":20217,""p90"":20217,""max"":20217,""mean"":19613},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":21856,""median"":23096,""p90"":23096,""max"":23096,""mean"":22476}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":2,""D"":2,""L"":4,""score"":0.375,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":4,""candidate_win"":2,""tick_cap_draw"":2},""ticks"":{""all"":{""n"":8,""min"":18795,""median"":21544,""p90"":24000,""max"":24000,""mean"":21694.875},""W"":{""n"":2,""min"":18795,""median"":20464,""p90"":20464,""max"":20464,""mean"":19629.5},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":4,""min"":21409,""median"":21544,""p90"":21850,""max"":21850,""mean"":21575}}}}"
"ra2web_advanced__hfo-original","ra2web_advanced","hfo-original","8","0.1875","0","-0.1875","{""disabled"":{""n"":8,""W"":4,""D"":2,""L"":2,""score"":0.625,""literalWinRate"":0.5,""pooledWilsonWinLower90"":0.2936454286357453,""statuses"":{""baseline_win"":2,""candidate_win"":4,""tick_cap_draw"":2},""ticks"":{""all"":{""n"":8,""min"":10292,""median"":18131,""p90"":24000,""max"":24000,""mean"":17419},""W"":{""n"":4,""min"":10292,""median"":17170,""p90"":18620,""max"":18620,""mean"":14870.75},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":13738,""median"":18131,""p90"":18131,""max"":18131,""mean"":15934.5}}},""separated_lanes_v2"":{""n"":8,""W"":2,""D"":3,""L"":3,""score"":0.4375,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":3,""candidate_win"":2,""tick_cap_draw"":3},""ticks"":{""all"":{""n"":8,""min"":11535,""median"":22643,""p90"":24000,""max"":24000,""mean"":19374.875},""W"":{""n"":2,""min"":11535,""median"":19232,""p90"":19232,""max"":19232,""mean"":15383.5},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":11566,""median"":18023,""p90"":22643,""max"":22643,""mean"":17410.666666666668}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":4,""D"":2,""L"":2,""score"":0.625,""literalWinRate"":0.5,""pooledWilsonWinLower90"":0.2936454286357453,""statuses"":{""baseline_win"":2,""candidate_win"":4,""tick_cap_draw"":2},""ticks"":{""all"":{""n"":8,""min"":10292,""median"":19776,""p90"":24000,""max"":24000,""mean"":18089.625},""W"":{""n"":4,""min"":10292,""median"":13660,""p90"":19941,""max"":19941,""mean"":14323.5},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":19647,""median"":19776,""p90"":19776,""max"":19776,""mean"":19711.5}}}}"
"ra2web_advanced__hfo-golden","ra2web_advanced","hfo-golden","8","0.25","0.0625","-0.1875","{""disabled"":{""n"":8,""W"":3,""D"":4,""L"":1,""score"":0.625,""literalWinRate"":0.375,""pooledWilsonWinLower90"":0.19535795103474965,""statuses"":{""baseline_win"":1,""candidate_win"":3,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":7894,""median"":24000,""p90"":24000,""max"":24000,""mean"":19172.75},""W"":{""n"":3,""min"":7894,""median"":11724,""p90"":19880,""max"":19880,""mean"":13166},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":17884,""median"":17884,""p90"":17884,""max"":17884,""mean"":17884}}},""separated_lanes_v2"":{""n"":8,""W"":2,""D"":3,""L"":3,""score"":0.4375,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":3,""candidate_win"":2,""tick_cap_draw"":3},""ticks"":{""all"":{""n"":8,""min"":13881,""median"":18761,""p90"":24000,""max"":24000,""mean"":19227.25},""W"":{""n"":2,""min"":15004,""median"":15442,""p90"":15442,""max"":15442,""mean"":15223},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":13881,""median"":18730,""p90"":18761,""max"":18761,""mean"":17124}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":4,""D"":3,""L"":1,""score"":0.6875,""literalWinRate"":0.5,""pooledWilsonWinLower90"":0.2936454286357453,""statuses"":{""baseline_win"":1,""candidate_win"":4,""tick_cap_draw"":3},""ticks"":{""all"":{""n"":8,""min"":8338,""median"":20707,""p90"":24000,""max"":24000,""mean"":18563.5},""W"":{""n"":4,""min"":8338,""median"":16336,""p90"":20707,""max"":20707,""mean"":14276.25},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":19403,""median"":19403,""p90"":19403,""max"":19403,""mean"":19403}}}}"
"ra2web_advanced__hfo-corners","ra2web_advanced","hfo-corners","8","0.0625","0.125","0.0625","{""disabled"":{""n"":8,""W"":0,""D"":6,""L"":2,""score"":0.375,""literalWinRate"":0,""pooledWilsonWinLower90"":0,""statuses"":{""baseline_win"":2,""tick_cap_draw"":6},""ticks"":{""all"":{""n"":8,""min"":12085,""median"":24000,""p90"":24000,""max"":24000,""mean"":21166.5},""W"":null,""D"":{""n"":6,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":12085,""median"":13247,""p90"":13247,""max"":13247,""mean"":12666}}},""separated_lanes_v2"":{""n"":8,""W"":1,""D"":5,""L"":2,""score"":0.4375,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":2,""candidate_win"":1,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":15843,""median"":24000,""p90"":24000,""max"":24000,""mean"":21866.125},""W"":{""n"":1,""min"":15843,""median"":15843,""p90"":15843,""max"":15843,""mean"":15843},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":19356,""median"":19730,""p90"":19730,""max"":19730,""mean"":19543}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":2,""D"":4,""L"":2,""score"":0.5,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":12085,""median"":24000,""p90"":24000,""max"":24000,""mean"":18814.75},""W"":{""n"":2,""min"":12214,""median"":16972,""p90"":16972,""max"":16972,""mean"":14593},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":12085,""median"":13247,""p90"":13247,""max"":13247,""mean"":12666}}}}"
"ra2web_advanced__hfo-corners-b","ra2web_advanced","hfo-corners-b","8","-0.0625","-0.0625","0","{""disabled"":{""n"":8,""W"":2,""D"":6,""L"":0,""score"":0.625,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""candidate_win"":2,""tick_cap_draw"":6},""ticks"":{""all"":{""n"":8,""min"":9928,""median"":24000,""p90"":24000,""max"":24000,""mean"":21345.25},""W"":{""n"":2,""min"":9928,""median"":16834,""p90"":16834,""max"":16834,""mean"":13381},""D"":{""n"":6,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}},""separated_lanes_v2"":{""n"":8,""W"":2,""D"":6,""L"":0,""score"":0.625,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""candidate_win"":2,""tick_cap_draw"":6},""ticks"":{""all"":{""n"":8,""min"":7474,""median"":24000,""p90"":24000,""max"":24000,""mean"":19910.5},""W"":{""n"":2,""min"":7474,""median"":7810,""p90"":7810,""max"":7810,""mean"":7642},""D"":{""n"":6,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":2,""D"":5,""L"":1,""score"":0.5625,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":1,""candidate_win"":2,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":10960,""median"":24000,""p90"":24000,""max"":24000,""mean"":21808.25},""W"":{""n"":2,""min"":10960,""median"":19949,""p90"":19949,""max"":19949,""mean"":15454.5},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":23557,""median"":23557,""p90"":23557,""max"":23557,""mean"":23557}}}}"
"ra2web_advanced__hfo-corners-b-golden","ra2web_advanced","hfo-corners-b-golden","8","0.1875","0","-0.1875","{""disabled"":{""n"":8,""W"":2,""D"":4,""L"":2,""score"":0.5,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":9904,""median"":24000,""p90"":24000,""max"":24000,""mean"":20517.125},""W"":{""n"":2,""min"":9904,""median"":16204,""p90"":16204,""max"":16204,""mean"":13054},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":20032,""median"":21997,""p90"":21997,""max"":21997,""mean"":21014.5}}},""separated_lanes_v2"":{""n"":8,""W"":1,""D"":3,""L"":4,""score"":0.3125,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":4,""candidate_win"":1,""tick_cap_draw"":3},""ticks"":{""all"":{""n"":8,""min"":10344,""median"":23512,""p90"":24000,""max"":24000,""mean"":21097.5},""W"":{""n"":1,""min"":10344,""median"":10344,""p90"":10344,""max"":10344,""mean"":10344},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":4,""min"":19409,""median"":23350,""p90"":23512,""max"":23512,""mean"":21609}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":2,""D"":4,""L"":2,""score"":0.5,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":11362,""median"":24000,""p90"":24000,""max"":24000,""mean"":20495.125},""W"":{""n"":2,""min"":11362,""median"":13054,""p90"":13054,""max"":13054,""mean"":12208},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":20021,""median"":23524,""p90"":23524,""max"":23524,""mean"":21772.5}}}}"
"ra2web_advanced__hfo-bvb","ra2web_advanced","hfo-bvb","8","0.125","-0.125","-0.25","{""disabled"":{""n"":8,""W"":3,""D"":4,""L"":1,""score"":0.625,""literalWinRate"":0.375,""pooledWilsonWinLower90"":0.19535795103474965,""statuses"":{""baseline_win"":1,""candidate_win"":3,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":8997,""median"":24000,""p90"":24000,""max"":24000,""mean"":17234.75},""W"":{""n"":3,""min"":8997,""median"":9443,""p90"":10053,""max"":10053,""mean"":9497.666666666666},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":13385,""median"":13385,""p90"":13385,""max"":13385,""mean"":13385}}},""separated_lanes_v2"":{""n"":8,""W"":1,""D"":4,""L"":3,""score"":0.375,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":3,""candidate_win"":1,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":18136,""median"":24000,""p90"":24000,""max"":24000,""mean"":22215.125},""W"":{""n"":1,""min"":18136,""median"":18136,""p90"":18136,""max"":18136,""mean"":18136},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":19771,""median"":20308,""p90"":23506,""max"":23506,""mean"":21195}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":3,""D"":2,""L"":3,""score"":0.5,""literalWinRate"":0.375,""pooledWilsonWinLower90"":0.19535795103474965,""statuses"":{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2},""ticks"":{""all"":{""n"":8,""min"":8997,""median"":14401,""p90"":24000,""max"":24000,""mean"":15335.25},""W"":{""n"":3,""min"":8997,""median"":9916,""p90"":10053,""max"":10053,""mean"":9655.333333333334},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":14390,""median"":14401,""p90"":16925,""max"":16925,""mean"":15238.666666666666}}}}"
"ra2web_advanced__hfo-lvl","ra2web_advanced","hfo-lvl","8","-0.0625","0","0.0625","{""disabled"":{""n"":8,""W"":2,""D"":3,""L"":3,""score"":0.4375,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":3,""candidate_win"":2,""tick_cap_draw"":3},""ticks"":{""all"":{""n"":8,""min"":15857,""median"":23870,""p90"":24000,""max"":24000,""mean"":20883.375},""W"":{""n"":2,""min"":18447,""median"":18450,""p90"":18450,""max"":18450,""mean"":18448.5},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":15857,""median"":18443,""p90"":23870,""max"":23870,""mean"":19390}}},""separated_lanes_v2"":{""n"":8,""W"":2,""D"":4,""L"":2,""score"":0.5,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4},""ticks"":{""all"":{""n"":8,""min"":17007,""median"":24000,""p90"":24000,""max"":24000,""mean"":21292.5},""W"":{""n"":2,""min"":18627,""median"":20660,""p90"":20660,""max"":20660,""mean"":19643.5},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":17007,""median"":18046,""p90"":18046,""max"":18046,""mean"":17526.5}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":2,""D"":3,""L"":3,""score"":0.4375,""literalWinRate"":0.25,""pooledWilsonWinLower90"":0.10887074683495994,""statuses"":{""baseline_win"":3,""candidate_win"":2,""tick_cap_draw"":3},""ticks"":{""all"":{""n"":8,""min"":18648,""median"":23870,""p90"":24000,""max"":24000,""mean"":22219.25},""W"":{""n"":2,""min"":18648,""median"":20277,""p90"":20277,""max"":20277,""mean"":19462.5},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":20400,""median"":22559,""p90"":23870,""max"":23870,""mean"":22276.333333333332}}}}"
"ra2web_advanced__hfo-rvr","ra2web_advanced","hfo-rvr","8","-0.0625","-0.125","-0.0625","{""disabled"":{""n"":8,""W"":1,""D"":5,""L"":2,""score"":0.4375,""literalWinRate"":0.125,""pooledWilsonWinLower90"":0.038176543007959585,""statuses"":{""baseline_win"":2,""candidate_win"":1,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":10780,""median"":24000,""p90"":24000,""max"":24000,""mean"":19854.25},""W"":{""n"":1,""min"":10780,""median"":10780,""p90"":10780,""max"":10780,""mean"":10780},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":12735,""median"":15319,""p90"":15319,""max"":15319,""mean"":14027}}},""separated_lanes_v2"":{""n"":8,""W"":0,""D"":6,""L"":2,""score"":0.375,""literalWinRate"":0,""pooledWilsonWinLower90"":0,""statuses"":{""baseline_win"":2,""tick_cap_draw"":6},""ticks"":{""all"":{""n"":8,""min"":13032,""median"":24000,""p90"":24000,""max"":24000,""mean"":22527.875},""W"":null,""D"":{""n"":6,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":13032,""median"":23191,""p90"":23191,""max"":23191,""mean"":18111.5}}},""separated_lanes_unbounded_d1"":{""n"":8,""W"":0,""D"":5,""L"":3,""score"":0.3125,""literalWinRate"":0,""pooledWilsonWinLower90"":0,""statuses"":{""baseline_win"":3,""tick_cap_draw"":5},""ticks"":{""all"":{""n"":8,""min"":13032,""median"":24000,""p90"":24000,""max"":24000,""mean"":22086.875},""W"":null,""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":13032,""median"":21134,""p90"":22529,""max"":22529,""mean"":18898.333333333332}}}}"
