"taskIndex","mapId","mapCaseIndex","jobId","country","countryOrdinal","candidateSlot","candidateStart","opponentStart","repeatIndex","requestedEngineSeed","winner","updates","endpointStatus","cellSha256","trajectorySha256","rawPath"
"21","hfo-lvl","27","24634156","Alliance","1","0","87,157","39,82","2","3002600027","opponent","29772","baseline_win","4e6ff2dabb3e7e8cb165926bf127662761710edd999595f89f513a1bf000630d","bd069a8c7f58ce789f5426b6e4fd21e4ffa18de2f9d7b5907a52402621243bb4","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-021/cell.json"
"22","hfo-lvl","28","24634157","Alliance","1","0","87,157","39,82","3","3002600028","candidate","21797","candidate_win","010d040db84518ef242205185bf1c8b591e34fb91a476b95596574443d756037","bad87b73d89aa3cabca11b4cb8167677677c48be03108557df42309d28520ec5","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-022/cell.json"
"23","hfo-lvl","29","24634158","Alliance","1","0","87,157","39,82","4","3002600029","candidate","21695","candidate_win","84b55e1a428e4b4ebcde8121daa1f2ad896123f0091e4d41a088d77f1c72a3e7","3cabd64be81ab1941f8be7d0f88146d2079e2bc23c82c5cfb4b6dda3a72f4da8","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-023/cell.json"
"24","hfo-lvl","31","24634159","Alliance","1","1","39,82","87,157","1","3002600031","candidate","20495","candidate_win","ca790d6d4866570adcfb69fe99a8d762fc44d90798ea3489a4719a0c48fe4f84","d3d895fe1207e194a78188abca8513b5c210201ddb3d9687a19b29cc0ea77508","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-024/cell.json"
"25","hfo-lvl","32","24634160","Alliance","1","1","39,82","87,157","2","3002600032","candidate","20870","candidate_win","7b61dc9a9ad4a3ce6b46a6389b4d29dea99c6888fc3853dc678a8b929637afd4","d8ba2d2fb53155a6457116b94568b47b98690773c6126e50cbb51a092244dddf","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-025/cell.json"
"26","hfo-lvl","33","24634161","Alliance","1","1","39,82","87,157","3","3002600033","candidate","21110","candidate_win","932296b9add2559b45d1924608b08eb75359033d0461656258056b7216343322","5e92d53ed60709fa9d0247b7602539055ece4cfec30a6119aa859fa49c3a385c","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-026/cell.json"
"27","hfo-lvl","34","24634162","Alliance","1","1","39,82","87,157","4","3002600034","candidate","20993","candidate_win","9661ebaa2a33f14c1e937fd02850caa612357931f5f700382697a343227c1d55","261fa5e4da4a197bd8e1e195e8980731882f5063e6157030945d1ef3c01a94ac","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-027/cell.json"
"28","hfo-lvl","36","24634163","Alliance","1","1","87,157","39,82","1","3002600036","candidate","8535","candidate_win","ed16b9332e0352a12610a03fbeab32fa852d29e48b92449ae13dafef0f07610a","744caa8efb13f78ad21a8edf08e97aeae55ec9173488ed411cd3897d166997b4","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-028/cell.json"
"29","hfo-lvl","37","24634164","Alliance","1","1","87,157","39,82","2","3002600037","candidate","7599","candidate_win","7900eea2ff36a787dbc725bce4d52770352b0f8909c18b48804d14c392a93a76","12e2b6d582b015511b91ec10f8a06d84b688caae9ab044e9e78d1b39f09f01ea","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-029/cell.json"
"30","hfo-lvl","38","24634165","Alliance","1","1","87,157","39,82","3","3002600038","candidate","7942","candidate_win","538e35c6f5fa62ba88db03bdfdadae7484a7c51fb37e2b4281ac8ae9d15ad937","58bbe219358e3fb94e2801373af45742618e869d5ecb75ef3c82100c722f7089","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-030/cell.json"
"31","hfo-lvl","39","24634166","Alliance","1","1","87,157","39,82","4","3002600039","candidate","21676","candidate_win","01b4d092f747ff40532f503f23d018baacb12095804f182faaac2209a188efe9","c699a2c76376cf0febfdc673008892057c458d748890c12d20090ff470eb95b8","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-031/cell.json"
"32","hfo-lvl","41","24634167","French","2","0","39,82","87,157","1","3002600041","opponent","8524","baseline_win","dda52a65d3aa3602f1ec5a802345fb09b9a47e9a1c4fe343f733ad86cf9ab99b","246de05bdda462a7a6e12332a0a1c07fa8204db4c01f5f57cfeb02aa749364d3","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-032/cell.json"
"33","hfo-lvl","42","24634168","French","2","0","39,82","87,157","2","3002600042","opponent","12005","baseline_win","800e1e892e54f119d2f1b03e6b5d05a17567abb53867d3fd747e9619c31807e7","b2bd4e0616e41ea3f6702c725940742ed65d0769fce2b823f8c666c5c148184e","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-033/cell.json"
"34","hfo-lvl","43","24634169","French","2","0","39,82","87,157","3","3002600043","opponent","13132","baseline_win","afefd0838c78ca4bc1af25cfe1057aa6a454a8c67bfd0180ff39e17f0f384d8c","ec6fc2e3914d85939c5af47c5f4bd4a78427db36dfe23d5013e96b4416d88818","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-034/cell.json"
"35","hfo-lvl","44","24634170","French","2","0","39,82","87,157","4","3002600044","opponent","8152","baseline_win","bcaa6afcf58ef1919a323ead4ebb1ee5ad6b25aaaf73150640fcf7de836c9151","083b00e8dd56f744ada5ad3fe68b54d7ea37bda2548117cc59adbce79102740d","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-035/cell.json"
"36","hfo-lvl","46","24634171","French","2","0","87,157","39,82","1","3002600046","candidate","21787","candidate_win","85452bfde4c648a0aa4ea8281742bbe0a4eceb82f42d43f68eacd7722d5d1402","4aaf748cf4fb9660738103c44d575f5e38dd63f7dd5c47c9400ed5efc1a6e9b4","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-036/cell.json"
"37","hfo-lvl","47","24634172","French","2","0","87,157","39,82","2","3002600047","candidate","28106","candidate_win","d6ae6f00c38c22f70ff58b578b6d90856432bc5c58791038d72600ac7765c060","cf5f8f51e265fd6eb58a241f9a272f9e868570d5ee3897b6a257705da09c0135","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-037/cell.json"
"38","hfo-lvl","48","24634173","French","2","0","87,157","39,82","3","3002600048","candidate","23061","candidate_win","def51bce70d6f873aad0f2cb0655696bc480587f602e7634205e104c05d0b6d4","0c519c04805f84c0ba796ab433ed817115730103b9e3f65c28436589214923a2","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-038/cell.json"
"39","hfo-lvl","49","24634174","French","2","0","87,157","39,82","4","3002600049","opponent","28591","baseline_win","14e6bdf596d2a65afc51422c5c7be0bc993d64a81e749ab2609c935eae77414d","63ee6c0769a3b6c1192a8b97238c83d5104482cb731eb298a317e4352f6ca3da","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-039/cell.json"
"40","hfo-lvl","51","24634175","French","2","1","39,82","87,157","1","3002600051","candidate","20480","candidate_win","d6429dcc50b81f2e514b7838460ff5b80363faf97c97da49fb0f456ae6f758d0","ed744540339de20f403f1f76c3863baf81a02d35d9a9c3a40bf7966e8b15fb33","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-040/cell.json"
"41","hfo-lvl","52","24634176","French","2","1","39,82","87,157","2","3002600052","candidate","45404","candidate_win","5aac838e37752ef52adbd8da91fdab84560222c7d2486ffdd82d66e6c3cfded5","38d2df823c609c725893c8ff42d60a34958cd9c5e9e71d28ee4a30c1d2fff285","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-041/cell.json"
"42","hfo-lvl","53","24634185","French","2","1","39,82","87,157","3","3002600053","candidate","21020","candidate_win","a4f58a7fd565468e05fde90028de4640c528aadfafb90e697ca9dc7af69682d0","3d542531183b4f74e7ccaad1d543e223f25f49db23b9ebb815a1a11c22deeb81","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-042/cell.json"
"43","hfo-lvl","54","24634186","French","2","1","39,82","87,157","4","3002600054","candidate","20960","candidate_win","c9206e951335813871db6369ecf2d39933e7dc09356b3d0a0b98cd38f8144ad9","fe777abd1b98afcc93dccd1d0f382ee0bdf30c24ed30f955a482ca801ac020d5","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-043/cell.json"
"44","hfo-lvl","56","24634187","French","2","1","87,157","39,82","1","3002600056","candidate","7882","candidate_win","7d78ad33620e3d28edafcca696aa36634698d98b546522692d9dc3e7c6840925","02d23f8fe831affba8e400573e0fb31d91048cb530e14cfaace2db57b5010fae","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-044/cell.json"
"45","hfo-lvl","57","24634188","French","2","1","87,157","39,82","2","3002600057","candidate","21890","candidate_win","52d0e670777c70ff671fda96dde956f3735f6c9dff878af686f2bf0035155b6f","b97581921053be63bb807a41bc5655d3ea01a44848e83eb824459f403c402993","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-045/cell.json"
"46","hfo-lvl","58","24634190","French","2","1","87,157","39,82","3","3002600058","candidate","20245","candidate_win","ffd4be6819c6e9162adfe569c5856936ca8169a0f00395a321267b4971c02a3f","2b001de4ee14dd2f7413ff1835fe093dc462515b061f9a1d54c67f45df4704db","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-046/cell.json"
"47","hfo-lvl","59","24634191","French","2","1","87,157","39,82","4","3002600059","candidate","7852","candidate_win","4f4dc7bb9a87530a53a0b5303a315eace09a275258017062be94c1ec489ee944","05d5885fa451c2fd65e45187df0de09fac7f28b1139d54cd3073ba88d139fb03","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-047/cell.json"
"48","hfo-lvl","61","24634192","Germans","3","0","39,82","87,157","1","3002600061","opponent","8704","baseline_win","1ce859617cff08fa1821260d4fe989fb78251295cb1cc65905d89e19dc8614e6","ac7654751d3b62abce61cb3ceac7f24d5e8f2d7b0daad3a65580700701a06d2a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-048/cell.json"
"49","hfo-lvl","62","24634193","Germans","3","0","39,82","87,157","2","3002600062","opponent","13532","baseline_win","45dc0431d1357a91e4b88fad8a489ee899134c182c286db5d100c16398eeeb6f","8f785cbb064defba9fe087a14ca22446cd53231dbcd306d09490da3efeefd72e","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-049/cell.json"
