"taskIndex","mapId","mapCaseIndex","jobId","country","countryOrdinal","candidateSlot","candidateStart","opponentStart","repeatIndex","requestedEngineSeed","winner","updates","endpointStatus","cellSha256","trajectorySha256","rawPath"
"74","hfo-lvl","93","24634238","British","4","1","39,82","87,157","3","3002600093","candidate","21002","candidate_win","f67f9eaabcf94ca51d0f98bd84bb2ea91e7e9c693ecba1ae97158fd6f4fb51dc","d5f68edcd728a8cfb1693a5d3f7716100d265d7ae0fdc9493d933072f70b6ed7","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-074/cell.json"
"75","hfo-lvl","94","24634241","British","4","1","39,82","87,157","4","3002600094","candidate","21122","candidate_win","01f4edf3f126324aaa2857f6e580b0dae52a7365457fbcb82ed9e84e8f328598","2d52ae81c06009ef40751c824b9d73cb38aecd72770f0a53c34c564d7f099244","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-075/cell.json"
"76","hfo-lvl","96","24634242","British","4","1","87,157","39,82","1","3002600096","candidate","26176","candidate_win","3be8fb5065de5b862bd4df0f706f4eb112c27203caec2a1ece84dd74085df23d","57da3e2d55fb1299de92c30c9ad24facaf4d55799ce8c2bd75a4582ac3748612","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-076/cell.json"
"77","hfo-lvl","97","24634243","British","4","1","87,157","39,82","2","3002600097","opponent","42190","baseline_win","90969da4489d9eb48450c1bbc64f1170cccc087ea05c61f102180bdb0721c86f","cc795c07a126ad888f0cb77c55d83773da07b847f28a66dabfeb109b0dba856a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-077/cell.json"
"78","hfo-lvl","98","24634249","British","4","1","87,157","39,82","3","3002600098","candidate","7733","candidate_win","fa3d44aa6d696f99b13c95194e7e09f6506caa8d76f5cddd275ff7c665f0b0ef","fbcd794ff364d9b1f05e60657e27a4519b49f4408e7f769538b8d3cb582ef990","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-078/cell.json"
"79","hfo-lvl","99","24634250","British","4","1","87,157","39,82","4","3002600099","candidate","7961","candidate_win","faa82be20de3de9ce8fd1c54c2147903f7d1cd50d2e454e9c80f15d63aea654d","5e5eea4d91cf9cfc9b7d9ea31b4de884f7f7c816ea96104513ca623fc3434069","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-079/cell.json"
"80","hfo-lvl","101","24634251","Africans","5","0","39,82","87,157","1","3002600101","opponent","23535","baseline_win","f98e186ac81f14629bfb9b07628dad7d670fe8cb131f616af8aafd5810ef7c42","a4a0b17e9a360f5fda96625a54285aa305e42678423f6954854b0dc1146f2fc6","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-080/cell.json"
"81","hfo-lvl","102","24634253","Africans","5","0","39,82","87,157","2","3002600102","opponent","31552","baseline_win","49a7cd2c636e7c85f8291211baa9fc63de0c2a1ca6989f46b6b45189edf82558","62039d66a726187623302b2263b8604f59726b3c6553c236830e63df677054cf","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-081/cell.json"
"82","hfo-lvl","103","24634256","Africans","5","0","39,82","87,157","3","3002600103","opponent","62132","baseline_win","3e359b8119c52d8d63f9cbec7ad944182a1cd9d6f6eb055ad4b1b86c1ed69806","971664a9554508a30ae971c2024d6b86f9a0dd1642e557227a1b73f1eeabd99e","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-082/cell.json"
"83","hfo-lvl","104","24634257","Africans","5","0","39,82","87,157","4","3002600104","opponent","23200","baseline_win","0150d48f4465cc7f6bb2f2e88486918da51875d4ee6c7e22d32d94faf3d90ee2","b48ba537456cfe7ef1ef65c7b63f901fcb6fc1893a81d098482c5320bb4c628c","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-083/cell.json"
"84","hfo-lvl","106","24634258","Africans","5","0","87,157","39,82","1","3002600106","candidate","20131","candidate_win","cb976b8b8b911d119649755617844eb59407039163090792813a01c804070be1","05d8378ba8f771ceae890d7fe310190f29c140449c5b228014a342be126063c9","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-084/cell.json"
"85","hfo-lvl","107","24634261","Africans","5","0","87,157","39,82","2","3002600107","candidate","31924","candidate_win","28384a60718dc131450ff759ac2be4cc856e10e7aed7e34f372300ef8f148ffa","4ee767026680f518ac69fd66312e3797d742231ba823b4a3f7306ecbff02f787","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-085/cell.json"
