"mapId","dimension","stratum","games","wins","draws","losses","winRate","scoreRate","oneSided95WilsonWinLower","medianLiteralWinUpdates","tickCapCount"
"hfo-rvr","faction","Soviet","64","46","5","13","0.71875","0.7578125","0.6188954202671041","26665.5","3"
"hfo-rvr","slot","0","72","44","18","10","0.6111111111111112","0.7361111111111112","0.5142264226634788","22289.5","17"
"hfo-rvr","slot","1","72","45","15","12","0.625","0.7291666666666666","0.528230685083217","21780","13"
"hfo-rvr","start","151,118","72","52","3","17","0.7222222222222222","0.7430555555555556","0.6285567581456475","10477","2"
"hfo-rvr","start","88,34","72","37","30","5","0.5138888888888888","0.7222222222222222","0.41826863378812956","32667","28"
"hfo-rvr","country","0","16","11","4","1","0.6875","0.8125","0.4820261853617284","21065","3"
"hfo-rvr","country","1","16","7","8","1","0.4375","0.6875","0.25765800882984596","9208","8"
"hfo-rvr","country","2","16","10","4","2","0.625","0.75","0.4219159873257636","15797.5","4"
"hfo-rvr","country","3","16","7","6","3","0.4375","0.625","0.25765800882984596","8971","6"
"hfo-rvr","country","4","16","8","6","2","0.5","0.6875","0.3098430968466183","9022","6"
"hfo-rvr","country","5","16","12","0","4","0.75","0.75","0.5452365088315935","23538.5","0"
"hfo-rvr","country","6","16","11","2","3","0.6875","0.75","0.4820261853617284","37874","1"
"hfo-rvr","country","7","16","12","1","3","0.75","0.78125","0.5452365088315935","23116.5","1"
"hfo-rvr","country","8","16","11","2","3","0.6875","0.75","0.4820261853617284","30481","1"
"hfo-rvr","countryStart","0:151,118","8","7","0","1","0.875","0.875","0.5888566256700796","9988","0"
"hfo-rvr","countryStart","0:88,34","8","4","4","0","0.5","0.75","0.24864189021256208","31317.5","3"
"hfo-rvr","countryStart","1:151,118","8","7","0","1","0.875","0.875","0.5888566256700796","9208","0"
"hfo-rvr","countryStart","1:88,34","8","0","8","0","0","0.5","0","","8"
"hfo-rvr","countryStart","2:151,118","8","8","0","0","1","1","0.7472764025763452","9109","0"
"hfo-rvr","countryStart","2:88,34","8","2","4","2","0.25","0.5","0.08651484419908748","30981.5","4"
"hfo-rvr","countryStart","3:151,118","8","6","0","2","0.75","0.75","0.46015304548726005","8960.5","0"
"hfo-rvr","countryStart","3:88,34","8","1","6","1","0.125","0.5","0.028399323737820666","44791","6"
"hfo-rvr","countryStart","4:151,118","8","8","0","0","1","1","0.7472764025763452","9022","0"
"hfo-rvr","countryStart","4:88,34","8","0","6","2","0","0.375","0","","6"
"hfo-rvr","countryStart","5:151,118","8","4","0","4","0.5","0.5","0.24864189021256208","22504.5","0"
"hfo-rvr","countryStart","5:88,34","8","8","0","0","1","1","0.7472764025763452","26933.5","0"
"hfo-rvr","countryStart","6:151,118","8","5","0","3","0.625","0.625","0.34799143840479974","22465","0"
"hfo-rvr","countryStart","6:88,34","8","6","2","0","0.75","0.875","0.46015304548726005","45245.5","1"
"hfo-rvr","countryStart","7:151,118","8","4","1","3","0.5","0.5625","0.24864189021256208","21770","1"
"hfo-rvr","countryStart","7:88,34","8","8","0","0","1","1","0.7472764025763452","28275.5","0"
"hfo-rvr","countryStart","8:151,118","8","3","2","3","0.375","0.5","0.16117233776071346","30481","1"
"hfo-rvr","countryStart","8:88,34","8","8","0","0","1","1","0.7472764025763452","34793.5","0"
