"caseIndex","caseId","blockIndex","cohort","mapId","countryOrdinal","country","candidateStartOrdinal","opponentStartOrdinal","candidateStart","opponentStart","candidateSlot","repeatIndex","pairIndex","pairId","requestedEngineSeed","observedCandidateStart","observedOpponentStart","updates","selectorJobId","cellSha256"
"10","fresh-dual-v1-0010","0","central","hfo-le","0","Americans","0","2","39,82","151,119","0","5","5","central:hfo-le:0:0:5","3765000005","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"11","fresh-dual-v1-0011","0","central","hfo-le","0","Americans","0","2","39,82","151,119","1","5","5","central:hfo-le:0:0:5","3765000005","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"12","fresh-dual-v1-0012","0","central","hfo-le","0","Americans","0","2","39,82","151,119","0","6","6","central:hfo-le:0:0:6","3765000006","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"13","fresh-dual-v1-0013","0","central","hfo-le","0","Americans","0","2","39,82","151,119","1","6","6","central:hfo-le:0:0:6","3765000006","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"14","fresh-dual-v1-0014","0","central","hfo-le","0","Americans","0","2","39,82","151,119","0","7","7","central:hfo-le:0:0:7","3765000007","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"15","fresh-dual-v1-0015","0","central","hfo-le","0","Americans","0","2","39,82","151,119","1","7","7","central:hfo-le:0:0:7","3765000007","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"16","fresh-dual-v1-0016","0","central","hfo-le","0","Americans","0","2","39,82","151,119","0","8","8","central:hfo-le:0:0:8","3765000008","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"17","fresh-dual-v1-0017","0","central","hfo-le","0","Americans","0","2","39,82","151,119","1","8","8","central:hfo-le:0:0:8","3765000008","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"18","fresh-dual-v1-0018","0","central","hfo-le","0","Americans","0","2","39,82","151,119","0","9","9","central:hfo-le:0:0:9","3765000009","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"19","fresh-dual-v1-0019","0","central","hfo-le","0","Americans","0","2","39,82","151,119","1","9","9","central:hfo-le:0:0:9","3765000009","39,82","151,119","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
